,Company,Cumulative Diff,Std Dev Diff
619,ZBH,34.34657698018037,2.920033921722101
130,CMCSA,34.194266208138465,1.179765403701272
149,CSGP,34.08229405136762,2.336676355353248
563,UNP,33.757873961061165,1.1329394177689582
503,SLB,33.5853890146731,1.123544318975586
48,ANSS,33.434728519576076,2.23583903620743
207,ETN,33.2829881097824,1.144748946089499
334,LBTYK,33.004339416293185,4.024105552466813
457,PRGO,32.97261213972804,2.70946301094654
583,VZ,32.812058477748494,1.018624019346251
203,ES,32.75058924395304,2.172930952844579
10,ADI,32.51166567869426,2.0820051755392948
80,BEN,32.502559888172556,1.7609521428641053
114,CELG,32.46116647812716,2.1023775762661243
526,SYY,32.41596180273912,2.2900643645088103
620,ZION,32.3723001389349,1.0430191887802647
521,SWKS,32.162436908865914,1.702717322206385
423,OC,32.072535765860586,3.0098311691752846
415,NUAN,32.02756588360117,2.8945065671756045
157,CXO,31.812913866497126,2.7066040698276166
304,ISRG,31.740600981652012,2.904462059498619
205,ESS,31.683335100722267,6.219025883851576
9,ADBE,31.331581789740888,2.170705771463567
569,V,31.241320039921284,1.093787070927669
271,HIG,31.160301690604648,2.6544046079847314
189,ECL,31.151348423427713,3.9164654502611542
323,KMB,31.11805820567021,2.9041594299619615
158,D,31.116260708962493,1.0258151167988934
368,MDT,31.112771787469267,0.9708802101396463
138,COG,31.033596582307904,2.894018353860864
370,MELI,30.784186894572706,2.103981175183038
92,BRK/B,30.488424270778992,0.9904680825883703
3,AAPL,30.452233605501032,1.0047321139732615
238,FRC,30.41828537384226,3.0645063808176314
403,NEM,30.019292115414906,1.6111458926911757
432,OXY,29.96940633964947,1.0955758313008703
324,KMI,29.896947926262023,2.1919309089006522
246,GILD,29.8879115880733,1.0626725200347682
356,MA,29.80138186557991,0.9087585414437126
8,ACN,29.723156421626967,0.9580802868857394
316,JPM,29.71391111396112,1.0102959460987049
443,PFE,29.663520903315774,0.9823568222323579
297,INTU,29.659164727035495,2.5272696308128024
21,AGCO,29.657727427793017,1.8835744462067474
262,HAS,29.64223764061347,0.9418387762298276
263,HBAN,29.48829052498615,3.3932558488688094
484,ROST,29.4151782113556,1.6996790620817455
571,VEEV,29.296491082520117,3.302842121887487
176,DOV,29.24391246326986,2.5222836354671885
216,F,28.74441585354692,0.9741565057701926
417,NVDA,28.713486118887424,0.8679961510706174
223,FDX,28.63568966588286,0.8896670154920255
37,AMD,28.529912114930127,1.497870607948042
444,PFG,28.45889886475173,2.374054393479721
345,LNG,28.291218896569085,1.6165048083223124
209,EV,28.247094045388184,2.3612902517378536
97,C,28.1229868461783,1.081476512495911
522,SWN,27.924839296523515,2.6777828188630353
221,FCX,27.627688344090426,2.424300155569252
498,SHW,27.41599222422243,2.1446473567847435
586,WBA,27.414946467364036,0.9067111947825726
338,LEN,27.381831809413395,2.3296211775996425
560,ULTA,27.339006717667903,4.214165680541605
131,CME,27.187685732248838,0.9110676998546355
365,MCO,27.074538159403506,0.8738378476233496
328,KR,27.010776919910036,0.8588177740975849
30,ALL,26.982517283552358,0.9366081199744494
65,AVP,26.383098852015124,3.823008797321952
44,AMZN,26.272673034485585,0.8264500480121575
556,UAL,26.220191713515963,0.8773283628142858
194,EL,26.172126273979483,3.2800185306768705
504,SLG,26.163845529513743,3.177543116972476
519,STZ,26.141871841554742,2.0181490621440523
331,L,26.086061080102763,2.8917732011242734
88,BLL,26.044386416525604,2.3461659957713885
156,CVX,26.021298636810577,0.8508043899835921
593,WFC,25.775350895104058,0.8935107502544977
288,ICE,25.528350461230445,0.8359969548190886
480,RNR,25.486889290158352,3.0387343779567693
599,WMB,25.447138750734958,2.0451918308400265
145,CPT,25.438281174123716,3.7311737443533817
488,S,25.133941432340986,1.7457741317393674
87,BLK,24.788963307235015,0.8708904713530257
546,TRV,24.705030342627527,3.2742598094769697
116,CF,24.596434458632434,2.784497983425818
13,ADS,24.596059538435068,2.5281896491987927
282,HSIC,24.479304760325828,1.993715124504839
89,BMRN,24.29473375169542,2.222749795711305
604,WY,24.21175258390997,2.3934487039293986
142,COST,24.13139691354106,0.838485738158031
296,INTC,24.120711724587892,0.820208066437732
469,RE,24.090591783846495,2.539376853508137
353,LYB,24.019463635523017,2.4040358180302746
429,OMC,23.898989805769105,2.3000770437553175
155,CVS,23.82700383013853,3.8066880639351903
258,GS,23.577100481426854,0.7934458167956648
463,PXD,23.55860067285909,1.7866209938178452
339,LH,23.531606012341882,1.8483776686481088
