,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
7,A P Moller-Maersk-B-Unsp Adr,Adr,Ap Moeller-Maersk As,Common Stock,Adr,Depositary Receipt,-1
16,Aareal Bank Ag-Unspon Adr,Adr,Aareal Bank Ag Adr,Common Stock,Adr,Depositary Receipt,-1
25,Abacus Property Group,Reit,Abacus Property Group,Common Stock,Reit,Reit,-1
44,Aberdeen Asian Income Fund L,Closed-End Fund,Abrdn Asian Income Fund Limited,Common Stock,Closed-End Fund,Mutual Fund,-1
45,Aberdeen Global Income Fund,Closed-End Fund,Aberdeen Global If Inc,Common Stock,Closed-End Fund,Mutual Fund,-1
55,Aberforth Smaller Cos-Ord,Closed-End Fund,Aberforth Smaller Companies Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
56,Aberforth Split Level Income,Closed-End Fund,Aberforth Split Level Income Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
57,Aberforth Split Level Income,Closed-End Fund,Aberforth Split Level Income Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
65,Abn Amro Bank Nv-Cva,Dutch Cert,Abn Amro Group Nv,Common Stock,Dutch Cert,Depositary Receipt,-1
67,Aboitiz Equity Ventures-Adr,Adr,Aboitiz Equity Ventures Inc Adr,Common Stock,Adr,Depositary Receipt,-1
87,Acadia Realty Trust,Reit,Acadia Realty Trust,Common Stock,Reit,Reit,-1
140,Acorn Capital Investment Fun,Closed-End Fund,Acorn Capital Invest Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
156,Activia Properties Inc,Reit,Activia Properties Inc,Common Stock,Reit,Reit,-1
182,Adaptimmune Therapeutics-Adr,Adr,Adaptimmune Therapeutics Plc,Common Stock,Adr,Depositary Receipt,-1
213,Adidas Ag-Sponsored Adr,Adr,Adidas Ag Adr,Common Stock,Adr,Depositary Receipt,-1
225,Adriatic Metals Plc-Cdi,Cdi,Adriatic Metals Plc,Common Stock,Cdi,Depositary Receipt,-1
255,Advisorshares Dorsey Wright,Etf,Advisorshares Dorsey Wright Adr Etf,Etf,Etp,Mutual Fund,-1
351,Agfa Gevaert Nv-Unspon Adr,Adr,Agfa Gevaert Nv Adr,Common Stock,Adr,Depositary Receipt,-1
364,Agnc Investment Corp,Reit,,,Public,Preferred Stock,-1
399,Ai Powered Equity Etf,Etf,Ai Powered Equity Etf,Etf,Etp,Mutual Fund,-1
417,Air China Ltd-Sponsored-Adr,Adr,Air China Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
430,Airnet Technology Inc-Adr,Adr,Airnet Technology Inc,Common Stock,Adr,Depositary Receipt,-1
434,Airports Of Thailand Pcl-Adr,Adr,Airports Of Thailand Pcl Adr,Common Stock,Adr,Depositary Receipt,-1
457,Akari Therapeutics Plc-Adr,Adr,Akari Therapeutics Plc,Common Stock,Adr,Depositary Receipt,-1
500,Alberton Acquisition Corp,Unit,Alberton Acquisition Corporation,Common Stock,,,-1
501,Albion Development Vct Plc,Closed-End Fund,Albion Development Vct Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
502,Albion Technology & General,Closed-End Fund,Albion Technology & General Vct Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
532,Alexander & Baldwin Inc,Reit,Alexander & Baldwin Holdings Inc,Common Stock,Reit,Reit,-1
549,Alibaba Group Holding-Sp Adr,Adr,Alibaba Group Holding Ltd,Common Stock,Adr,Depositary Receipt,-1
560,Alior Bank Sa - Unsp Adr,Adr,Alior Bank Sa Adr,Common Stock,Adr,Depositary Receipt,-1
563,Alk-Abello A/S-Spon Adr,Adr,Alk-Abello A/S Adr,Common Stock,Adr,Depositary Receipt,-1
599,Alliance Global Gro-Unsp Adr,Adr,Alliance Global Group Inc,Common Stock,Adr,Depositary Receipt,-1
606,Alliance Resource Partners,Mlp,Alliance Resource Partners Lp,Common Stock,Mlp,Partnership Shares,-1
608,Alliance Trust Plc,Closed-End Fund,Alliance Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
609,Alliancebernstein Holding Lp,Mlp,Alliancebernstein Holding Lp,Common Stock,Mlp,Partnership Shares,-1
661,Alphaclone Alternative Alpha,Etf,Alphaclone Alternative Alpha Etf,Etf,Etp,Mutual Fund,-1
664,Alphamark Act Managed Small,Etf,Alphamark Actively Managed Small Cap Etf,Etf,Etp,Mutual Fund,-1
670,Alpine Select Ag-Reg Shs,Closed-End Fund,Alpine Select Ag,Common Stock,Closed-End Fund,Mutual Fund,-1
676,Alstria Office Reit-Ag,Reit,Alstria Office Reit-Ag,Common Stock,Reit,Reit,-1
739,Amadeus It Group-Unsp Adr,Adr,Amadeus It Holding Sa Pk,Common Stock,Adr,Depositary Receipt,-1
751,Amarin Corporation Plc -Adr,Adr,Amarin Corporation Plc,Common Stock,Adr,Depositary Receipt,-1
763,Ambev Sa-Adr,Adr,Ambev Sa Adr,Common Stock,Adr,Depositary Receipt,-1
770,Ambow Education Holding-Adr,Adr,Ambow Education Holding Ltd,Common Stock,Adr,Depositary Receipt,-1
777,Amcil Limited,Closed-End Fund,Amcil Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
782,Amcor Plc-Cdi,Cdi,Amcor Plc,Common Stock,Cdi,Depositary Receipt,-1
797,America First Multifamily In,Mlp,America First Tax Exempt Investors,Common Stock,Mlp,Partnership Shares,-1
799,America Movil-Adr Series A,Adr,America Movil Sab De Cv Adr Class A,Common Stock,Adr,Depositary Receipt,-1
803,American Assets Trust Inc,Reit,American Assets Trust Inc,Common Stock,Reit,Reit,-1
812,American Campus Communities,Reit,American Campus Communities Inc,Common Stock,Reit,Reit,-1
817,American Century Diversified,Etf,American Century Diversified Corporate Bond Etf,Etf,Etp,Mutual Fund,-1
818,American Church Mortgage Co,Reit,American Church Mortgage Co,Common Stock,Reit,Reit,-1
840,American Financial Group Inc/Oh,Preferred Stock,American Financial Group Inc,Common Stock,Public,Preferred Stock,-1
846,American Homes 4 Rent- A,Reit,American Homes 4 Rent,Common Stock,Reit,Reit,-1
880,American Spectrum Realty Inc,Reit,American Spectrum Realty Inc,Common Stock,Reit,Reit,-1
894,Americold Realty Trust,Reit,Americold Realty Trust,Common Stock,Reit,Reit,-1
935,Amtrust Financial Servic,Preferred Stock,Amtrust Financial Services Inc Adr Series D,Common Stock,Public,Preferred Stock,-1
936,Amtrust Financial Servic,Preferred Stock,Amtrust Financial Services Inc Adr Series D,Common Stock,Public,Preferred Stock,-1
937,Amtrust Financial Servic,Preferred Stock,Amtrust Financial Services Inc Adr Series D,Common Stock,Public,Preferred Stock,-1
938,Amtrust Financial Servic,Preferred Stock,Amtrust Financial Services Inc Adr Series D,Common Stock,Public,Preferred Stock,-1
939,Amtrust Financial Servic,Preferred Stock,Amtrust Financial Services Inc Adr Series D,Common Stock,Public,Preferred Stock,-1
940,"Amtrust Financial Services, Inc Preferred",Preferred Stock,Amtrust Financial Services Prf 7 50 Exp15Jun2055,Etf,Public,Preferred Stock,-1
941,Amtrust Finl Svcs Inc Dep Sh Repstg,Preferred Stock,Amtrust Financial Services Inc Adr Series B,Common Stock,Public,Preferred Stock,-1
948,Anadolu Efes Biracilik-Adr,Adr,Anadolu Efes Biracilik Ve Malt Sanayii As Adr,Common Stock,Adr,Depositary Receipt,-1
985,Andritz Ag-Unspon Adr,Adr,Andritz Ag Adr,Common Stock,Adr,Depositary Receipt,-1
999,Angle Plc-Spon Adr,Adr,Angle Plc Adr,Common Stock,Adr,Depositary Receipt,-1
1005,Anglogold Ashanti Ltd-Cdi,Cdi,Anglogold Ashanti Ltd Drc,Common Stock,Cdi,Depositary Receipt,-1
1028,Annaly Capital Management In,Reit,Annaly Capital Management Inc,Common Stock,Reit,Reit,-1
1082,Apax Global Alpha Ltd,Closed-End Fund,Apax Global Alpha Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
1121,Apple Hospitality Reit Inc,Reit,Apple Hospitality Reit Inc,Common Stock,Reit,Reit,-1
1167,Arabian Food Industries Comp,Gdr,,,Common Stock,Common Stock,-1
1178,Arbor Realty Trust Inc,Reit,Arbor Realty Trust,Common Stock,Reit,Reit,-1
1190,Arcelormittal South-Spn Adr,Adr,Arcelormittal South Africa Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
1192,Arch Capital Group Ltd,Common Stock,,,Public,Preferred Stock,-1
1215,Arctic Glacier Income Fd-Ut,Unit,Arctic Glacier Income Fund,Mutual Fund,Unit,Unit,-1
1233,Ares Commercial Real Estate,Reit,Ares Commercial Real Estate,Common Stock,Reit,Reit,-1
1265,Arima Real Estate Socimi Sa,Reit,Arima Real Estate Socimi Sa,Common Stock,Reit,Reit,-1
1266,Arion Banki Hf-Sdr,Sdr,Arion Banki Hf,Common Stock,Sdr,Depositary Receipt,-1
1283,Arlington Asset Investment-A,Reit,Arlington Asset Investment Corp,Common Stock,Reit,Reit,-1
1287,Armada Hoffler Properties In,Reit,Armada Hflr Pr,Common Stock,Reit,Reit,-1
1296,Armour Residential Reit Inc,Reit,Armour Residential Reit Inc,Common Stock,Reit,Reit,-1
1324,Artemis Alpha Trust Plc-Ord,Closed-End Fund,Artemis Alpha Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
1349,Asa Gold And Precious Metals,Closed-End Fund,Asa Gold And Precious Metals Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
1370,Ascendas Real Estate Inv Trt,Reit,Ascendas Real Estate Investment Trust,Common Stock,Reit,Reit,-1
1371,Ascendis Pharma A/S - Adr,Adr,Ascendis Pharma As,Common Stock,Adr,Depositary Receipt,-1
1382,Ase Technology Holding -Adr,Adr,Ase Industrial Holding Co Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
1401,Ashoka India Equity It,Closed-End Fund,Ashoka India Equity Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
1444,Asian Pay Television Trust,Unit,Asian Pay Television Trust,Common Stock,Unit,Unit,-1
1454,Aslan Pharmaceuticals Lt-Adr,Adr,Aslan Pharmaceuticals Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
1456,Asml Holding Nv-Ny Reg Shs,Ny Reg Shrs,Asml Holding Nv Adr,Common Stock,Ny Reg Shrs,Depositary Receipt,-1
1478,Assura Plc,Reit,Assura Plc,Common Stock,Reit,Reit,-1
1496,Astra Agro Lestari-Unsp Adr,Adr,Astra Agro Lestari Tbk,Common Stock,Adr,Depositary Receipt,-1
1528,Athelney Trust Plc,Closed-End Fund,Athelney Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
1572,Atos Origin Sa-Unsp Adr,Adr,Atos Origin Sa Adr,Common Stock,Adr,Depositary Receipt,-1
1609,Augmentum Fintech Plc,Closed-End Fund,Augmentum Fintech Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
1641,Aurora Global Income Trust,Closed-End Fund,Aurora Global Income Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
1643,Aurora Investment Trust Plc,Closed-End Fund,Aurora Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
1646,Aurora Mobile Ltd-Adr,Adr,Aurora Mobile Ltd,Common Stock,Adr,Depositary Receipt,-1
1674,Australian Dairy Nutritional,Stapled Security,Australian Dairy Farms Group,Common Stock,Stapled Security,Unit,-1
1676,Australian Foundation Inv Co,Closed-End Fund,Australian Foundation Investment Company Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
1682,Australian United Investment,Closed-End Fund,Australian United Investment Co Ltd,Etf,Closed-End Fund,Mutual Fund,-1
1683,Australian Unity Office Fund,Reit,Australian Unity Office Fund,Common Stock,Reit,Reit,-1
1694,Auto Trader Group-Unsp Adr,Adr,Auto Trader Group Plc Adr,Common Stock,Adr,Depositary Receipt,-1
1699,Autohome Inc-Adr,Adr,Autohome Inc,Common Stock,Adr,Depositary Receipt,-1
1701,Autoliv Inc-Swed Dep Receipt,Sdr,Autoliv Inc,Common Stock,Sdr,Depositary Receipt,-1
1702,Autolus Therapeutics Plc,Adr,Autolus Therapeutics Ltd,Common Stock,Adr,Depositary Receipt,-1
1719,Avadel Pharmaceuticals-Adr,Adr,Avadel Pharmaceuticals Plc,Common Stock,Adr,Depositary Receipt,-1
1830,Axos Financial Inc,Common Stock,,,Public,Preferred Stock,-1
1836,Ayala Corporation-Unspon Adr,Adr,Ayala Corp Adr,Common Stock,Adr,Depositary Receipt,-1
1849,Azimut Holding Spa-Unsp Adr,Adr,Azimut Holding Spa Adr,Common Stock,Adr,Depositary Receipt,-1
1879,Bae Systems Plc -Spon Adr,Adr,Bae Systems Plc,Common Stock,Adr,Depositary Receipt,-1
1885,Baidu Inc - Spon Adr,Adr,Baidu Inc,Common Stock,Adr,Depositary Receipt,-1
1886,Baillie Gifford European Gro,Closed-End Fund,Baillie Gifford European Growth Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
1887,Baillie Gifford Japan Trust,Closed-End Fund,Baillie Gifford Japan Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
1888,Baillie Gifford Shin Nippon,Closed-End Fund,Baillie Gifford Shin Nippon Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
1902,Baker Steel Resources Trust,Closed-End Fund,Baker Steel Resources Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
1916,Balfour Beatty Plc-Spon Adr,Adr,Balfour Beatty Plc Adr,Common Stock,Adr,Depositary Receipt,-1
1944,Banco Bradesco-Adr,Adr,Banco Bradesco S/A Adr,Common Stock,Adr,Depositary Receipt,-1
1945,Banco Bradesco-Adr,Adr,Banco Bradesco S/A Adr,Common Stock,Adr,Depositary Receipt,-1
1946,Banco De Chile-Adr,Adr,Banco De Chile,Common Stock,Adr,Depositary Receipt,-1
1947,Banco Do Brasil Sa-Spon Adr,Adr,Banco Do Brasil Sa,Common Stock,Adr,Depositary Receipt,-1
1948,Banco Macro Sa-Adr,Adr,Banco Macro Sa B Adr,Common Stock,Adr,Depositary Receipt,-1
1949,Banco Nacional De Mexico S.A,Misc.,,,Pvt Eqty Fund,Mutual Fund,-1
1951,Bancolombia S.A.-Spons Adr,Adr,Bancolombia Sa Adr,Common Stock,Adr,Depositary Receipt,-1
1954,Bancroft Fund Ltd,Closed-End Fund,Bancroft Fund Limited,Common Stock,Closed-End Fund,Mutual Fund,-1
1964,Bangkok Dusit Med -Unsp Adr,Adr,Bangkok Dusit Medical Services Pcl Adr,Common Stock,Adr,Depositary Receipt,-1
1968,Bank East Asia Ltd-Spons Adr,Adr,Bank Of East Asia Limited,Common Stock,Adr,Depositary Receipt,-1
1972,Bank Hapoalim Ltd-Adr,Adr,Bank Hapoalim Adr,Common Stock,Adr,Depositary Receipt,-1
1992,Bank Of Queensland-Unsp Adr,Adr,Bank Of Queensland Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
1995,Bank Rakyat Indonesia-Un Adr,Adr,Bank Rakyat,Common Stock,Adr,Depositary Receipt,-1
2006,Banpu Public Co L-Unspon Adr,Adr,Banpu Pcl Adr,Common Stock,Adr,Depositary Receipt,-1
2013,Baozun Inc-Spn Adr,Adr,Baozun Inc,Common Stock,Adr,Depositary Receipt,-1
2027,Baring Emerging Europe Plc,Closed-End Fund,Baring Emerging Europe Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2037,Baronsmead Second Venture Tr,Closed-End Fund,Baronsmead Second Venture Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2038,Baronsmead Venture Trust Plc,Closed-End Fund,Baronsmead Venture Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2045,Barron'S 400 Etf,Etf,Barron'S 400 Etf,Etf,Etp,Mutual Fund,-1
2103,Bdo Unibank Inc-Spon Adr,Adr,Bdo Unibank Inc Adr,Common Stock,Adr,Depositary Receipt,-1
2110,Beach Energy Ltd-Unsp Adr,Adr,Beach Energy Ltd,Common Stock,Adr,Depositary Receipt,-1
2147,Beiersdorf Ag-Unspon Adr,Adr,Beiersdorf Ag Adr,Common Stock,Adr,Depositary Receipt,-1
2171,Bellway Plc-Unsponsored Adr,Adr,Bellway Plc Adr,Common Stock,Adr,Depositary Receipt,-1
2195,Bentley Capital Ltd,Closed-End Fund,Bentley Capital Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
2209,Berli Jucker Public Co-Adr,Adr,Berli Jucker Pcl Adr,Common Stock,Adr,Depositary Receipt,-1
2228,Betashares Aus High Interest,Etf,Australian High Interest Cash,Etf,Etp,Mutual Fund,-1
2254,Bh Macro Ltd,Closed-End Fund,Bh Macro Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
2278,Bicycle Therapeutics Ltd-Adr,Adr,Bicycle Therapeutics Ltd,Common Stock,Adr,Depositary Receipt,-1
2281,Bidvest Group Ltd-Spons Adr,Adr,Bidvest Group Ltd Pk,Common Stock,Adr,Depositary Receipt,-1
2285,Big Pharma Split Corp,Closed-End Fund,Big Pharma Split Corp Class A,Common Stock,Closed-End Fund,Mutual Fund,-1
2293,Big Yellow Group Plc,Reit,Big Yellow Group Plc,Common Stock,Reit,Reit,-1
2302,Bilibili Inc-Sponsored Adr,Adr,Bilibili Inc,Common Stock,Adr,Depositary Receipt,-1
2345,Biolinerx Ltd,Common Stock,Biolinerx Ltd,Common Stock,Adr,Depositary Receipt,-1
2357,Biondvax Pharmaceuticals-Adr,Adr,Biondvax Pharmaceuticals Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
2365,Biopharma Credit Plc,Closed-End Fund,Biopharma Credit Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2381,Biotech Growth Trust Plc/The,Closed-End Fund,The Biotech Growth Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2421,Bki Investment Co Ltd,Closed-End Fund,Bki Investment Company Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
2440,Blackrock Core Bond Trust,Closed-End Fund,Blackrock Core Bond Closed Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
2442,Blackrock Frontiers Invest,Closed-End Fund,Blackrock Frontiers Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2444,Blackrock Greater Europe Inv,Closed-End Fund,Blackrock Greater Europe Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2445,Blackrock Health Sciences,Closed-End Fund,Blackrock Health Sciences Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
2448,Blackrock Latin American Inv,Closed-End Fund,Blackrock Latin American Investment Trust Plc,Etf,Closed-End Fund,Mutual Fund,-1
2456,Blackrock Smaller Companies,Closed-End Fund,Blackrock Smaller Companies Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2457,Blackrock Throgmorton Trust,Closed-End Fund,Throgmorton Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2458,Blackrock World Mining Trust,Closed-End Fund,Blackrock World Mining Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2462,Blackstone Mortgage Tru-Cl A,Reit,Blackstone Mortgage Trust Inc,Common Stock,Reit,Reit,-1
2464,Blackwall Ltd,Reit,Blackwall Property Funds Ltd,Common Stock,Reit,Reit,-1
2482,Blockchain Technologies Etf,Etf,Blockchain Technologies,Common Stock,Etp,Mutual Fund,-1
2515,Blue Planet Investment Trust,Closed-End Fund,Blue Planet Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2538,Bluefield Solar Income Fund,Closed-End Fund,Bluefield Solar Income Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
2543,Blueknight Energy Partners L,Mlp,Blueknight Energy Partners Lp Llc,Common Stock,Mlp,Partnership Shares,-1
2549,Bluescope Steel Ltd-Unsp Adr,Adr,Bluescope Steel Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
2551,Bluestar Israel Technology E,Etf,Bluestar Israel Technology Etf,Etf,Etp,Mutual Fund,-1
2560,Bmo Global Communications In,Etf,Bmo Global Communications,Common Stock,Etp,Mutual Fund,-1
2572,Boardwalk Real Estate Invest,Reit,Boardwalk Real Estate Investment Trust,Common Stock,Reit,Reit,-1
2598,Boliden Ab-Unspn Adr,Adr,Boliden Ab Adr,Common Stock,Adr,Depositary Receipt,-1
2624,Boohoo Group Plc - Unsp Adr,Adr,Boohoo.Com Plc Adr,Common Stock,Adr,Depositary Receipt,-1
2679,Bouygues-Unsponsored Adr,Adr,Bouygues Sa Adr,Common Stock,Adr,Depositary Receipt,-1
2685,Box Ships Inc,Preferred Stock,Box Ships Inc,Common Stock,Common Stock,Common Stock,-1
2695,Bp Prudhoe Bay Royalty Trust,Royalty Trst,Bp Prudhoe Bay Royalty Trust,Common Stock,Royalty Trst,Common Stock,-1
2701,Braemar Hotels & Resorts Inc,Reit,Braemar Hotel & Resorts Inc,Common Stock,Reit,Reit,-1
2707,Brainsway Ltd-Adr,Adr,Brainsway Ltd,Common Stock,Adr,Depositary Receipt,-1
2715,Brandywine Realty Trust,Reit,Brandywine Realty Trust,Common Stock,Reit,Reit,-1
2716,Braskem Sa-Spon Adr,Adr,Braskem Sa Class A,Common Stock,Adr,Depositary Receipt,-1
2773,Bristol Gate Concentrat Etf,Etf,Bristol Gate Concentrated Canadian Equity,Common Stock,Etp,Mutual Fund,-1
2774,Bristol Myers Squibb Co: Bmy Pr,Convpreferred,Bristol-Myers Squibb Company Pfd Conv 2,Common Stock,Public,Preferred Stock,-1
2780,British & American Invest Tr,Closed-End Fund,British And American Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2782,British Land Co Plc,Reit,British Land Company Plc,Common Stock,Reit,Reit,-1
2783,British Smaller Companies Vc,Closed-End Fund,British Smaller Companies Vct 2 Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
2785,Brixmor Property Group Inc,Reit,Brixmor Property,Common Stock,Reit,Reit,-1
2804,Brompton Global Dividend-Etf,Etf,Brompton Global Dividend Growth Etf,Etf,Etp,Mutual Fund,-1
2805,Brompton Lifeco Split Corp-A,Closed-End Fund,Brompton Lifeco Split Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
2806,Brompton Oil Split Corp -A,Closed-End Fund,Brompton Oil Split Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
2807,Brompton Split Banc Cor-Cl A,Closed-End Fund,Brompton Split Banc Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
2814,Brookfield Infrastructure Pa,Ltd Part,Brookfield Infrastructure Partners Lp,Common Stock,Ltd Part,Partnership Shares,-1
2817,Brookfield Renewable Partner,Ltd Part,Brookfield Renewable Partners Lp,Common Stock,Ltd Part,Partnership Shares,-1
2832,Brt Apartments Corp,Reit,Brt Realty Trust,Common Stock,Reit,Reit,-1
2836,Brunner Investment Trust Plc,Closed-End Fund,Brunner Investment Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
2866,Builders Capital Mortgage Co,Closed-End Fund,Builders Capital Mortgage Corp,Common Stock,Closed-End Fund,Mutual Fund,-1
2869,Buildingiq Inc-Cdi,Cdi,Buildingiq Inc,Common Stock,Cdi,Depositary Receipt,-1
2879,Bumi Serpong Damai-Unsp Adr,Adr,Bumi Serpong Damai Tbk Pt Adr,Common Stock,Adr,Depositary Receipt,-1
2945,Cadence Capital Ltd,Closed-End Fund,Cadence Capital Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
2972,Caledonia Investments Plc,Closed-End Fund,Caledonia Investments,Common Stock,Closed-End Fund,Mutual Fund,-1
3005,Calumet Specialty Products,Mlp,Calumet Specialty Products Partners,Common Stock,Mlp,Partnership Shares,-1
3019,Camden Property Trust,Reit,Camden Property Trust,Common Stock,Reit,Reit,-1
3035,Can Fite Biopharma Ltd-Adr,Adr,Can Fite Biopharma Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
3050,Canadian General Investments,Closed-End Fund,Canadian General Investments Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
3060,Canadian Solar Infrastructur,Unit,Canadian Solar Infrastructure Fund Inc,Common Stock,Unit,Unit,-1
3092,Cango Inc/Ky - Adr,Adr,Cango Inc,Common Stock,Adr,Depositary Receipt,-1
3149,Capital Gearing Trust-Ord,Closed-End Fund,Capital Gearing Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
3195,Carbone Lorraine-Unsp Adr,Adr,Mersen Sa Adr,Common Stock,Adr,Depositary Receipt,-1
3219,Care Property Invest,Reit,Care Property Invest Nv,Common Stock,Reit,Reit,-1
3231,Caretrust Reit Inc,Reit,Caretrust Inc,Common Stock,Reit,Reit,-1
3237,Carindale Property Trust,Reit,Carindale Property Trust,Common Stock,Reit,Reit,-1
3243,Carlsberg As-B-Spon Adr,Adr,Carlsberg As,Common Stock,Adr,Depositary Receipt,-1
3244,Carlton Investments Limited,Closed-End Fund,Carlton Investments Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
3330,Catchmark Timber Trust Inc-A,Reit,Catchmark Timber Trust Inc,Common Stock,Reit,Reit,-1
3371,Cdl Hospitality Trusts,Stapled Security,Cdl Hospitality Trusts,Common Stock,Stapled Security,Unit,-1
3379,Cebu Air Inc-Unsponsored Adr,Adr,Cebu Air Inc Adr,Common Stock,Adr,Depositary Receipt,-1
3456,Central Securities Corp,Closed-End Fund,Central Securities Corporation,Common Stock,Closed-End Fund,Mutual Fund,-1
3473,Centuria Capital Group,Stapled Security,Centuria Capital Ltd,Common Stock,Stapled Security,Unit,-1
3575,Charter Hall Group,Reit,Charter Hall Group,Common Stock,Reit,Reit,-1
3582,Chatham Lodging Trust,Reit,Chatham Lodging Trust Reit,Common Stock,Reit,Reit,-1
3591,Cheetah Mobile Inc - Adr,Adr,Cheetah Mobile Inc,Common Stock,Adr,Depositary Receipt,-1
3596,Chelverton Growth Trust Plc,Closed-End Fund,Chelverton Growth Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
3613,Cheniere Energy Partners Lp,Mlp,Cheniere Energy Partners Lp,Common Stock,Mlp,Partnership Shares,-1
3616,Cherry Hill Mortgage Investm,Reit,Cherry Hill Mortgage Investment Corp,Common Stock,Reit,Reit,-1
3620,Chesapeake Granite Wash Trus,Royalty Trst,Chesapeake Granite Wash Trust,Common Stock,Royalty Trst,Common Stock,-1
3650,Chimera Investment Corp,Reit,Chimera Investment Corporation,Common Stock,Reit,Reit,-1
3808,China New Borun Corp-Adr,Adr,China New Borun Corporation,Common Stock,Adr,Depositary Receipt,-1
3927,Chipmos Technologies Inc-Adr,Adr,Chipmos Technologies Inc,Common Stock,Adr,Depositary Receipt,-1
3962,Chunghwa Telecom Lt-Spon Adr,Adr,Chunghwa Telecom Co Ltd,Common Stock,Adr,Depositary Receipt,-1
3973,Cibc Active Investment Grade,Etf,Cibc Active Investment Grade Corporate Bond,Common Stock,Etp,Mutual Fund,-1
4063,City Office Reit Inc,Reit,City Office,Common Stock,Reit,Reit,-1
4073,Civitas Social Housing Plc,Reit,Civitas Social Housing Plc,Common Stock,Reit,Reit,-1
4074,Civmec Ltd/Cdi,Cdi,Civmec Ltd,Common Stock,Cdi,Depositary Receipt,-1
4146,Clime Capital Ltd,Closed-End Fund,,,Public,Preferred Stock,-1
4153,Clipper Realty Inc,Reit,Clipper Realty Inc,Common Stock,Reit,Reit,-1
4170,Clrbrdg Lrg Cap Gwth Esg Etf,Etf,Clearbridge Large Cap Growth Esg Etf,Etf,Etp,Mutual Fund,-1
4171,Cls Holdings Plc,Common Stock,Cls Holdings Plc,Common Stock,Reit,Reit,-1
4185,Cms Energy Corp,Preferred Stock,Cms Energy Corporation,Common Stock,Common Stock,Common Stock,-1
4186,Cms Energy Corp,Preferred Stock,Cms Energy Corporation,Common Stock,Common Stock,Common Stock,-1
4192,Cnfinance Holdings Ltd,Adr,Cnfinance Holdings Ltd,Common Stock,Adr,Depositary Receipt,-1
