,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
9523,Japan Hotel Reit Investment,Reit,Japan Hotel Reit Investment Corp,Common Stock,Reit,Reit,-1
9527,"Japan Logistics Fund, Inc.",Reit,Japan Logistics Fund Inc,Common Stock,Reit,Reit,-1
9531,Japan Physical Gold Etf/Mufg,Etf,Mitsubishi Japan Physical Gold,Etf,Etp,Mutual Fund,-1
9535,Japan Real Estate Investment,Reit,Japan Real Estate Investment Corp,Common Stock,Reit,Reit,-1
9536,Japan Retail Fund Investment,Reit,Japan Retail Fund Investment Corp,Common Stock,Reit,Reit,-1
9626,Jianpu Technology Inc-Sp Adr,Adr,Jianpu Technology Inc,Common Stock,Adr,Depositary Receipt,-1
9628,Jiayin Group Inc-Adr,Adr,Jiayin Group Inc,Common Stock,Adr,Depositary Receipt,-1
9651,Jinkosolar Holding Co-Adr,Adr,Jinkosolar Holding Company Limited,Common Stock,Adr,Depositary Receipt,-1
9711,Jp Morgan Elect-Mgd I,Closed-End Fund,Jpmorgan Elect Plc 0.003P,Common Stock,Closed-End Fund,Mutual Fund,-1
9713,Jpmorgan Alerian Mlp Index,Etn,Jpmorgan Alerian Mlp Index Etn,Etf,Etp,Mutual Fund,-1
9714,Jpmorgan American Invest-Ord,Closed-End Fund,Jpmorgan American Investment Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
9718,Jpmorgan Indian Inv Trust,Closed-End Fund,Jpmorgan Indian Inv Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
9719,Jpmorgan Japanese Invest Tr,Closed-End Fund,Jpmorgan Japanese Investment Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
9720,Jpmorgan Mid Cap Inv Trust,Closed-End Fund,Jpmorgan Mid Cap Investment Trust,Common Stock,Closed-End Fund,Mutual Fund,-1
9721,Jpmorgan Russian Securities,Closed-End Fund,Jpmorgan Russian Securities,Common Stock,Closed-End Fund,Mutual Fund,-1
9722,Jpmorgan Us Smaller Companie,Closed-End Fund,Jpmorgan Us Smaller Companies Investment Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
9746,Jumia Technologies Ag-Adr,Adr,Jumia Technologies Ag,Common Stock,Adr,Depositary Receipt,-1
9760,Jupiter Us Smaller Companies,Closed-End Fund,Brown Advisory Us Smaller Companies Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
9776,Jz Capital Partners Ltd,Closed-End Fund,Jz Capital Partners Ltd,Common Stock,Closed-End Fund,Mutual Fund,-1
9914,Kazia Therapeutics Ltd,Adr,Kazia Therapeutics Ltd Adr,Common Stock,Adr,Depositary Receipt,-1
9915,Kb Financial Group Inc-Adr,Adr,Kb Financial Group Inc,Common Stock,Adr,Depositary Receipt,-1
9958,Kenedix Office Investment Co,Reit,Kenedix Office Investment Corp,Common Stock,Reit,Reit,-1
9959,Kenedix Residential Next Inv,Reit,Kenedix Residential Investment Corp,Common Stock,Reit,Reit,-1
9973,Keppel Infrastructure Trust,Unit,Keppel Infrastructure Trust,Common Stock,Unit,Unit,-1
10029,Kilroy Realty Corp,Reit,Kilroy Realty Corp,Common Stock,Reit,Reit,-1
10032,Kimbell Royalty Partners Lp,Unit,Kimbell Royalty Partners Lp,Common Stock,Unit,Unit,-1
10053,Kindred Group Plc,Sdr,Kindred Group Plc,Common Stock,Sdr,Depositary Receipt,-1
