,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
11115,MARKEL CORP,COMMON,Markel Corporation,Common Stock,Common Stock,Common Stock
11116,MARKER THERAPEUTICS INC,COMMON,Marker Therapeutics Inc,Common Stock,Common Stock,Common Stock
11117,MARKET ACCESS RGR INTL CMDTY,ETF,Market Access Rogers International Commodity Index UCITS ETF,ETF,ETP,Mutual Fund
11118,MARKETAXESS HOLDINGS INC,,MarketAxess Holdings Inc,Common Stock,Common Stock,Common Stock
11119,MARKETENTERPRISE CO LTD,COMMON,Marketenterprise Co Ltd,Common Stock,Common Stock,Common Stock
11120,MARKETING ALLIANCE INC/THE,COMMON,,,Common Stock,Common Stock
11121,MARKETING CONCEPTS INTL,COMMON,,,,
11122,MARKRAY CORP,COMMON,,,Common Stock,Common Stock
11123,MARKSANS PHARMA LIMITED,COMMON,Marksans Pharma Limited,Common Stock,Common Stock,Common Stock
11124,MARKSMEN ENERGY INC,COMMON,Marksmen Energy Inc,Common Stock,Common Stock,Common Stock
11125,MARLIN BUSINESS SERVICES INC,COMMON,,,Common Stock,Common Stock
11126,MARLIN GOLD MINING LTD,COMMON,,,,
11127,MARLOWE PLC,COMMON,Marlowe plc,Common Stock,Common Stock,Common Stock
11128,MARMOTA LTD,COMMON,Marmota Energy Ltd,Common Stock,Common Stock,Common Stock
11129,MARQUEE ENERGY LTD,COMMON,,,,
11130,MARQUEE ENERGY LTD,COMMON,,,,
11131,MARQUEE RESOURCES LIMITED,COMMON,Marquee Resources Ltd,Common Stock,Common Stock,Common Stock
11132,MARQUETTE NATIONAL CORPORAT,COMMON,Marquette National Corp,Common Stock,Common Stock,Common Stock
11133,MARRIOTT INTL INC,,,,,
11134,MARRIOTT VACATIONS WORLD,COMMON,Marriot Vacations Worldwide,Common Stock,Common Stock,Common Stock
11135,MARRONE BIO INNOVATIONS INC,COMMON,Marrone Bio Innovations Inc,Common Stock,Common Stock,Common Stock
11136,MARS GROUP HOLDINGS CORP,COMMON,Mars Engineering Corp,Common Stock,Common Stock,Common Stock
11137,MARS ONE VENTURES AG,COMMON,,,Common Stock,Common Stock
11138,MARSH & MCLENNAN COS,,,,,
11139,MARSHALL & ILSLEY CORP,,,,,
11140,MARSHALL MACHINES LTD,COMMON,Marshall Machines Limited,Common Stock,Common Stock,Common Stock
11141,MARSHALL MOTOR HOLDINGS PLC,COMMON,,,Common Stock,Common Stock
11142,MARSHALLS PLC,COMMON,Marshalls PLC,Common Stock,Common Stock,Common Stock
11143,MARSTONS PLC,COMMON,Marston’s PLC,Common Stock,Common Stock,Common Stock
11144,MARTELLO TECHNOLOGIES GROUP,COMMON,Martello Technologies Group Inc,Common Stock,Common Stock,Common Stock
11145,MARTEN TRANSPORT LTD,COMMON,Marten Transport Ltd,Common Stock,Common Stock,Common Stock
11146,MARTHA STEWART LIVING-A,COMMON,,,,
11147,MARTIN AIRCRAFT CO LTD ,,,,,
11148,MARTIN CURRIE ASIA UNCONSTRA,CLOSED-END FUND,,,Closed-End Fund,Mutual Fund
11149,MARTIN MARIETTA MATERIALS,,Martin Marietta Materials Inc,Common Stock,Common Stock,Common Stock
11150,MARTIN MIDSTREAM PARTNERS LP,MLP,Martin Midstream Partners LP,Common Stock,MLP,Partnership Shares
11151,MARTINREA INTERNATIONAL INC,COMMON,Martinrea International Inc.,Common Stock,Common Stock,Common Stock
11152,MARUBENI CORP,COMMON,Marubeni Corp.,Common Stock,Common Stock,Common Stock
11153,MARUBUN CORP,COMMON,Marubun Corp,Common Stock,Common Stock,Common Stock
11154,MARUHA NICHIRO CORP,COMMON,Maruha Nichiro Corp,Common Stock,Common Stock,Common Stock
11155,MARUI GROUP CO LTD,COMMON,Marui Group Co. Ltd.,Common Stock,Common Stock,Common Stock
11156,MARUICHI STEEL TUBE LTD,COMMON,Maruichi Steel Tube Ltd,Common Stock,Common Stock,Common Stock
