,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
18358,URBANFUND CORP.,COMMON,Urbanfund Corp,Common Stock,Common Stock,Common Stock
18359,URBANGOLD MINERALS INC,COMMON,,,,
18360,URBANIMMERSIVE INC,COMMON,Urbanimmersive Inc,Common Stock,Common Stock,Common Stock
18361,URIGEN PHARMACEUTICALS INC,COMMON,,,,
18362,URJA GLOBAL LTD,COMMON,Urja Global Limited,Common Stock,Common Stock,Common Stock
18363,UROGEN PHARMA LTD,COMMON,UroGen Pharma Ltd,Common Stock,Common Stock,Common Stock
18364,UROLOGIX INC,COMMON,Urologix Inc,Common Stock,Common Stock,Common Stock
18365,UROVANT SCIENCES LTD,COMMON,,,,
18366,URSTADT BIDDLE - CLASS A,REIT,Urstadt Biddle Properties Inc,Common Stock,REIT,REIT
18367,URSTADT BIDDLE PROPERTIES,REIT,Urstadt Biddle,Common Stock,REIT,REIT
18368,URTHECAST CORP,COMMON,,,Common Stock,Common Stock
18369,URU METALS LTD,COMMON,URU Metals Ltd,Common Stock,Common Stock,Common Stock
18370,US AIRWAYS GROUP INC,COMMON,,,,
18371,US AUTO PARTS NETWORK INC,COMMON,,,Common Stock,Common Stock
18372,US CELLULAR CORP,COMMON,,,PUBLIC,Preferred Stock
18373,US CELLULAR CORP,PREFERRED,,,PUBLIC,Preferred Stock
18374,US CELLULAR CORP,PREFERRED,,,PUBLIC,Preferred Stock
18375,US CONCRETE INC,COMMON,,,Common Stock,Common Stock
18376,US ECOLOGY INC,COMMON,,,Common Stock,Common Stock
18377,US ENERGY INITIATIVES CORP I,COMMON,Us Energy Initiative,Common Stock,Common Stock,Common Stock
18378,US FINANCIAL 15 SPLIT CORP-A,CLOSED-END FUND,US Financial 15 Split Corp,Common Stock,Closed-End Fund,Mutual Fund
18379,US FOODS HOLDING CORP,COMMON,US Foods Holding Corp,Common Stock,Common Stock,Common Stock
18380,US GEOTHERMAL INC,COMMON,,,,
18381,US LIGHTING GROUP INC,COMMON,US Lighting Group Inc,Common Stock,Common Stock,Common Stock
18382,US NATIONAL TELECOM INC,COMMON,,,Common Stock,Common Stock
18383,US NATURAL GAS FUND LP,ETF,United States Natural Gas Fund LP,ETF,ETP,Mutual Fund
18384,US NUCLEAR CORP,COMMON,US Nuclear Corp,Common Stock,Common Stock,Common Stock
18385,US PRECIOUS METALS INC,COMMON,,,,
18386,US RESIDENTIAL FUND,REIT,,,,
18387,US SILICA HOLDINGS INC,COMMON,US Silica Holdings Inc,Common Stock,Common Stock,Common Stock
18388,US SOLAR FUND PLC,CLOSED-END FUND,US Solar Fund PLC,Common Stock,Closed-End Fund,Mutual Fund
18389,US SOLAR FUND PLC,CLOSED-END FUND,US Solar Fund PLC,Common Stock,Closed-End Fund,Mutual Fund
18390,US STEM CELL INC,COMMON,US Stem Cell Inc,Common Stock,Common Stock,Common Stock
18391,US WELL SERVICES INC,COMMON,US Well Services Inc,Common Stock,,
18392,US WIND FARMING INC,COMMON,,,Common Stock,Common Stock
18393,US XPRESS ENTERPRISES INC -A,COMMON,US Xpress Enterprises Inc,Common Stock,Common Stock,Common Stock
18394,USA TECHNOLOGIES INC,COMMON,,,,
18395,USA TRUCK INC,COMMON,USA Truck Inc,Common Stock,Common Stock,Common Stock
18396,USANA HEALTH SCIENCES INC,COMMON,USANA Health Sciences Inc,Common Stock,Common Stock,Common Stock
18397,USCOM LTD,COMMON,Uscom Ltd,Common Stock,Common Stock,Common Stock
18398,USEN-NEXT HOLDINGS CO LTD,COMMON,Usen Next Holdings Co Ltd,Common Stock,Common Stock,Common Stock
18399,USER LOCAL INC,COMMON,User Local Inc,Common Stock,Common Stock,Common Stock
18400,USG CORP,COMMON,,,,
18401,USHA MARTIN EDUCATION & SOLU,COMMON,Usha Martin Education & Solutions Limited,Common Stock,Common Stock,Common Stock
18402,USHER AGRO LTD,COMMON,,,,
18403,USHIO INC,COMMON,Ushio Inc,Common Stock,Common Stock,Common Stock
18404,USIO INC,COMMON,Usio Inc,Common Stock,Common Stock,Common Stock
18405,USU SOFTWARE AG,COMMON,USU Software AG,Common Stock,Common Stock,Common Stock
18406,UT GROUP CO LTD,COMMON,UT Group Co Ltd,Common Stock,Common Stock,Common Stock
18407,UTAH MEDICAL PRODUCTS INC,COMMON,Utah Medical Products Inc,Common Stock,Common Stock,Common Stock
18408,UTG INC,COMMON,,,Common Stock,Common Stock
18409,UTILICO EMERGING MARKETS TRU,CLOSED-END FUND,Utilico Emerging Markets Ltd,Common Stock,Closed-End Fund,Mutual Fund
18410,UTILITIES SELECT SECTOR SPDR,ETF,Utilities Select Sector SPDR® Fund,ETF,ETP,Mutual Fund
18411,UTSTARCOM HOLDINGS CORP,COMMON,UTStarcom Holdings Corp,Common Stock,Common Stock,Common Stock
18412,UTTAM GALVA STEELS LTD,COMMON,Uttam Galva Steels Limited,Common Stock,Common Stock,Common Stock
18413,UTTAM SUGAR MILLS LTD,COMMON,Uttam Sugar Mills Limited,Common Stock,Common Stock,Common Stock
18414,UTTAM VALUE STEELS LTD,COMMON,,,,
18415,UV FLU TECHNOLOGIES INC,COMMON,,,Common Stock,Common Stock
18416,UWHARRIE CAPITAL CORP,COMMON,,,Common Stock,Common Stock
18417,UXIN LTD - ADR,ADR,Uxin Ltd,Common Stock,ADR,Depositary Receipt
18418,UZABASE INC,COMMON,Uzabase Inc,Common Stock,Common Stock,Common Stock
18419,V GROUP INC,COMMON,V Group Inc,Common Stock,Common Stock,Common Stock
18420,V TECHNOLOGY CO LTD,COMMON,V Technology Co Ltd,Common Stock,Common Stock,Common Stock
18421,V V FOOD & BEVERAGE CO-A,COMMON,V V Food & Beverage Co Ltd,Common Stock,Common Stock,Common Stock
18422,V-CUBE INC,COMMON,V-cube Inc,Common Stock,Common Stock,Common Stock
18423,VA TECH WABAG LTD,COMMON,VA Tech Wabag Limited,Common Stock,Common Stock,Common Stock
18424,VAALCO ENERGY INC,COMMON,Vaalco Energy Inc,Common Stock,Common Stock,Common Stock
18425,VACCEX INC,COMMON,,,Common Stock,Common Stock
18426,VACCINEX INC,COMMON,Vaccinex Inc,Common Stock,Common Stock,Common Stock
18427,VACCINOGEN INC,COMMON,,,,
18428,VADILAL INDUSTRIES LIMITED,COMMON,Vadilal Industries Limited,Common Stock,Common Stock,Common Stock
18429,VAIBHAV GLOBAL LIMITED,COMMON,,,,
18430,VAIL RESORTS INC,COMMON,Vail Resorts Inc,Common Stock,Common Stock,Common Stock
18431,VAKRANGEE LTD,COMMON,Vakrangee Limited,Common Stock,Common Stock,Common Stock
18432,VALARTIS GROUP AG-BR,COMMON,Valartis Group AG,Common Stock,Common Stock,Common Stock
18433,VALASSIS COMMUNICATIONS INC,COMMON,,,,
18434,VALCOM INC,COMMON,,,Common Stock,Common Stock
18435,VALE SA-SP ADR,ADR,,,,
18436,VALENER INC,COMMON,,,Common Stock,Common Stock
18437,VALENS HOLDING AG,COMMON,,,Common Stock,Common Stock
18438,VALENTINE BEAUTY INC,COMMON,,,Common Stock,Common Stock
18439,VALEO PHARMA INC,COMMON,Valeo Pharma Inc,Common Stock,Common Stock,Common Stock
18440,VALERITAS HOLDINGS INC,COMMON,,,Common Stock,Common Stock
18441,VALERO ENERGY CORP,,Valero Energy Corporation,Common Stock,Common Stock,Common Stock
18442,VALERO ENERGY PARTNERS LP,MLP,,,,
18443,VALEURA ENERGY INC,COMMON,,,,
18444,VALIDIAN CORP,COMMON,,,,
18445,VALIDUS HOLDINGS LTD,COMMON,,,,
18446,VALLEY NATIONAL BANCORP,COMMON,Valley National Bancorp,Common Stock,Common Stock,Common Stock
18447,VALLEY NATIONAL BANCORP,PREFERRED,Valley National Bancorp,Common Stock,Common Stock,Common Stock
18448,VALLEY NATIONAL BANCORP,PREFERRED,Valley National Bancorp,Common Stock,Common Stock,Common Stock
18449,VALLEY REPUBLIC BANCORP,COMMON,,,,
18450,VALLIANZ HOLDINGS LTD,COMMON,,,Common Stock,Common Stock
18451,VALMEC LTD,COMMON,,,,
18452,VALMIE RESOURCES INC,COMMON,Valmie Resources Inc,Common Stock,Common Stock,Common Stock
18453,VALMONT INDUSTRIES,COMMON,Valmont Industries Inc,Common Stock,Common Stock,Common Stock
18454,VALOR HOLDINGS CO LTD,COMMON,Valor Co Ltd,Common Stock,Common Stock,Common Stock
18455,VALOR RESOURCES LTD,COMMON,Valor Resources Ltd,Common Stock,Common Stock,Common Stock
18456,VALORA HOLDING AG-REG,COMMON,Valora Holding,Common Stock,Common Stock,Common Stock
18457,VALORE METALS CORP,COMMON,ValOre Metals Corp,Common Stock,Common Stock,Common Stock
18458,VALORO RESOURCES INC,COMMON,,,,
18459,VALUE AND INCOME TRUST PLC,CLOSED-END FUND,,,,
18460,VALUE EXCHANGE INTERNATIONAL,COMMON,,,Common Stock,Common Stock
18461,VALUE LINE INC,COMMON,Value Line Inc,Common Stock,Common Stock,Common Stock
18462,VALUE PARTNERS GROUP LTD,COMMON,Value Partners Group Ltd,Common Stock,Common Stock,Common Stock
18463,VALUECOMMERCE CO LTD,COMMON,ValueCommerce Co Ltd,Common Stock,Common Stock,Common Stock
18464,VALUEMAX GROUP LTD,COMMON,ValueMax Group Limited,Common Stock,Common Stock,Common Stock
18465,VALUESETTERS INC,COMMON,,,,
18466,VALUETRONICS HOLDINGS LTD,COMMON,Valuetronics Holdings Limited,Common Stock,Common Stock,Common Stock
18467,VALVOLINE INC,COMMON,Valvoline Inc,Common Stock,Common Stock,Common Stock
18468,VAN ELLE HOLDINGS PLC,COMMON,Van Elle Holdings PLC,Common Stock,Common Stock,Common Stock
18469,VANADIUM ONE IRON CORP,COMMON,,,,
18470,VANADIUMCORP RESOURCE INC,COMMON,,,Common Stock,Common Stock
18471,VANDA PHARMACEUTICALS INC,COMMON,Vanda Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
18472,VANECK MERK GOLD TRUST,ETF,VanEck Merk Gold Trust,ETF,ETP,Mutual Fund
18473,VANECK SEMICONDUCTOR,ETF,VanEck Semiconductor ETF,ETF,ETP,Mutual Fund
18474,VANECK VECTORS SOLAR ENERGY,ETP,,,,
18475,VANGO MINING LTD,COMMON,Vango Mining Ltd,Common Stock,Common Stock,Common Stock
18476,VANGOLD MINING CORP,COMMON,,,,
18477,VANGUARD ENERGY ETF,ETF,Vanguard Energy Index Fund ETF Shares,ETF,ETP,Mutual Fund
18478,VANGUARD FTSE ASIA EXJ I-ETF,ETF,,,,
18479,VANGUARD HEALTH CARE ETF,ETF,Vanguard Health Care Index Fund ETF Shares,ETF,ETP,Mutual Fund
18480,VANGUARD HEALTH SYSTEMS INC,COMMON,,,,
18481,VANITY CAPITAL INC,COMMON,,,Common Stock,Common Stock
18482,VANKE OVERSEAS INVESTMENT HOL,COMMON,Vanke Property Overseas Ltd,Common Stock,Common Stock,Common Stock
18483,VANSEN PHARMA INC,COMMON,,,,
18484,VANSTAR MINING RESOURCES INC,COMMON,Vanstar Mining Resources Inc,Common Stock,Common Stock,Common Stock
18485,VANTAGE DRILLING CO,COMMON,Vantage Drilling Company,Common Stock,Common Stock,Common Stock
18486,VANTAGE INTERNATIONAL,COMMON,,,,
18487,VANTAGESOUTH BANCSHARES INC,COMMON,,,,
18488,VANTEX RESOURCES LTD,COMMON,Vantex Resources Ltd,Common Stock,Common Stock,Common Stock
18489,VAPE HOLDINGS INC,COMMON,,,Common Stock,Common Stock
18490,VAPOR GROUP INC,COMMON,Vapor Group Inc,Common Stock,Common Stock,Common Stock
18491,VAPOR HUB INTERNATIONAL INC,COMMON,,,,
18492,VAPORBRANDS INTERNATIONAL IN,COMMON,Vaporbrands Intl Inc,Common Stock,Common Stock,Common Stock
18493,VAPOTHERM INC,COMMON,Vapotherm Inc,Common Stock,Common Stock,Common Stock
18494,VARCA VENTURES INC,COMMON,,,Common Stock,Common Stock
18495,VARDHMAN ACRYLICS LTD,COMMON,Vardhman Acrylics Limited,Common Stock,Common Stock,Common Stock
18496,VARDHMAN HOLDINGS LTD,COMMON,Vardhman Holdings Limited,Common Stock,Common Stock,Common Stock
18497,VARDHMAN POLYTEX LIMITED,COMMON,Vardhman Polytex Limited,Common Stock,Common Stock,Common Stock
18498,VARDHMAN SPECIAL STEELS LTD,COMMON,Vardhman Special Steels Limited,Common Stock,Common Stock,Common Stock
18499,VARDHMAN TEXTILES LTD,COMMON,Vardhman Textiles Limited,Common Stock,Common Stock,Common Stock
18500,VARENGOLD BANK AG,COMMON,Varengold Bank AG,Common Stock,Common Stock,Common Stock
18501,VAREX IMAGING CORP,,Varex Imaging Corp,Common Stock,Common Stock,Common Stock
18502,VARIA US PROPERTIES AG,COMMON,Varia US Properties Ltd,Common Stock,Common Stock,Common Stock
18503,VARIAN MEDICAL SYSTEMS INC,,,,Common Stock,Common Stock
18504,VARONIS SYSTEMS INC,COMMON,Varonis Systems,Common Stock,Common Stock,Common Stock
18505,VARROC ENGINEERING LTD,COMMON,Varroc Engineering Limited,Common Stock,Common Stock,Common Stock
18506,VARUN BEVERAGES LTD,COMMON,Varun Beverages Limited,Common Stock,Common Stock,Common Stock
18507,VASCON ENGINEERS LTD,COMMON,Vascon Engineers Limited,Common Stock,Common Stock,Common Stock
18508,VASCULAR BIOGENICS LTD,COMMON,Vascular Biogenics Ltd,Common Stock,Common Stock,Common Stock
18509,VASO CORP,COMMON,Vaso Corp,Common Stock,Common Stock,Common Stock
18510,VASWANI INDUSTRIES LTD,COMMON,Vaswani Industries Limited,Common Stock,Common Stock,Common Stock
18511,VATIC VENTURES CORP,COMMON,,,Common Stock,Common Stock
18512,VATUKOULA GOLD MINES PLC,COMMON,,,,
18513,VAXART INC,COMMON,Vaxart Inc,Common Stock,Common Stock,Common Stock
18514,VAXIL BIO LTD,COMMON,Vaxil Bio Ltd,Common Stock,Common Stock,Common Stock
18515,VBI VACCINES INC,COMMON,VBI Vaccines Inc,Common Stock,Common Stock,Common Stock
18516,VCANBIO CELL & GENE ENGINE-A,COMMON,Vcanbio Cell & Gene Engineering Corp Ltd,Common Stock,Common Stock,Common Stock
18517,VCREDIT HOLDINGS LTD,COMMON,VCREDIT Holdings Ltd,Common Stock,Common Stock,Common Stock
18518,VDM GROUP LTD,COMMON,Vdm Group Ltd,Common Stock,Common Stock,Common Stock
18519,VECIMA NETWORKS INC,COMMON,Vecima Networks Inc.,Common Stock,Common Stock,Common Stock
18520,VECTOR GROUP LTD,COMMON,Vector Group Ltd,Common Stock,Common Stock,Common Stock
18521,VECTOR INC/SHINJUKU-KU,COMMON,Vector,Common Stock,Common Stock,Common Stock
18522,VECTOR RESOURCES LTD,COMMON,,,,
18523,VECTREN CORP,COMMON,,,,
18524,VECTRUS INC,COMMON,Vectrus Inc,Common Stock,Common Stock,Common Stock
18525,VEDAN INTERNATIONAL HOLDINGS,COMMON,Vedan International Holdings Ltd,Common Stock,Common Stock,Common Stock
18526,VEDANTA RESOURCES PLC,COMMON,,,,
18527,VEECO INSTRUMENTS INC,COMMON,Veeco Instruments Inc,Common Stock,Common Stock,Common Stock
18528,VEEKO INTERNATIONAL HLDGS,COMMON,Veeko International Holdings Ltd,Common Stock,Common Stock,Common Stock
18529,VEEVA SYSTEMS INC-CLASS A,COMMON,Veeva Systems Inc Class A,Common Stock,Common Stock,Common Stock
18530,VEGA CORP CO LTD,COMMON,Vega Corporation Co Ltd,Common Stock,Common Stock,Common Stock
18531,VEGALAB INC,COMMON,,,,
18532,VEGAS77 ENTERTAINMENT SE,COMMON,,,,
18533,VELAN INC,COMMON,Velan Inc.,Common Stock,Common Stock,Common Stock
18534,VELCAN HOLDINGS,COMMON,,,Common Stock,Common Stock
18535,VELOCITY COMPOSITES PLC,COMMON,,,Common Stock,Common Stock
18536,VELOCITY MINERALS LTD,COMMON,Velocity Minerals Ltd,Common Stock,Common Stock,Common Stock
18537,VELOCITY PROPERTY GROUP LTD,COMMON,,,,
18538,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18539,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18540,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18541,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18542,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18543,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18544,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18545,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18546,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18547,VELOCITYSHARES DAILY 4X LONG,ETN,,,,
18548,VELOCYS PLC,COMMON,Velocys plc,Common Stock,Common Stock,Common Stock
18549,VELTEX CORP,COMMON,,,Common Stock,Common Stock
18550,VELTRA CORP,COMMON,Veltra Corp,Common Stock,Common Stock,Common Stock
18551,VEMANTI GROUP INC,COMMON,Vemanti Group Inc,Common Stock,Common Stock,Common Stock
18552,VENATOR MATERIALS PLC,COMMON,Venator Materials PLC,Common Stock,Common Stock,Common Stock
18553,VENDETTA MINING CORP,COMMON,Vendetta Mining Corp,Common Stock,Common Stock,Common Stock
18554,VENDTEK SYSTEMS INC,COMMON,,,,
18555,VENOCO INC,COMMON,,,,
18556,VENTAS INC,,Ventas Inc,Common Stock,REIT,REIT
18557,VENTE-UNIQUE.COM SA,COMMON,Vente Unique.com,Common Stock,Common Stock,Common Stock
18558,VENTRACOR LIMITED,COMMON,,,,
18559,VENTRIPOINT DIAGNOSTICS LTD,COMMON,VentriPoint Diagnostics Ltd,Common Stock,Common Stock,Common Stock
18560,VENTURA CANNABIS & WELLNESS,COMMON,,,Common Stock,Common Stock
18561,VENTURE CORP LTD,COMMON,Venture Corporation Limited,Common Stock,Common Stock,Common Stock
18562,VENTURE LIFE GROUP PLC,COMMON,Venture Life Group PLC,Common Stock,Common Stock,Common Stock
18563,VENTURE MINERALS LTD,COMMON,Venture Minerals,Common Stock,Common Stock,Common Stock
18564,VENTUREX RESOURCES LTD,COMMON,,,,
18565,VENTUS VCT PLC,CLOSED-END FUND,,,,
18566,VENUS REMEDIES LIMITED,COMMON,Venus Remedies Limited,Common Stock,Common Stock,Common Stock
18567,VENZEE TECHNOLOGIES INC,COMMON,Venzee Technologies Inc,Common Stock,Common Stock,Common Stock
18568,VEOLIA ENVIRONNEMENT,COMMON,Veolia Environnement VE SA,Common Stock,Common Stock,Common Stock
18569,VEON LTD,ADR,VEON Ltd,Common Stock,ADR,Depositary Receipt
18570,VEONEER INC,COMMON,,,,
18571,VERA BRADLEY INC,COMMON,Vera Bradley Inc,Common Stock,Common Stock,Common Stock
18572,VERACITY MANAGEMENT GLOBAL,COMMON,,,,
18573,VERACYTE INC,COMMON,Veracyte Inc,Common Stock,Common Stock,Common Stock
18574,VERASTEM INC,COMMON,Verastem Inc,Common Stock,Common Stock,Common Stock
18575,VERB TECHNOLOGY CO INC,COMMON,VERB TECHNOLOGY COMPANY INC,Common Stock,Common Stock,Common Stock
18576,VERBIO VEREINIGTE BIOENERGI,COMMON,VERBIO Vereinigte BioEnergie AG,Common Stock,Common Stock,Common Stock
18577,VERDE AGRITECH PLC,COMMON,Verde Agritech PLC,Common Stock,Common Stock,Common Stock
18578,VERDE RESOURCES INC,COMMON,,,Common Stock,Common Stock
18579,VERDE SCIENCE INC,COMMON,Verde Science Inc,Common Stock,Common Stock,Common Stock
18580,VERDITEK PLC,COMMON,Verditek PLC,Common Stock,Common Stock,Common Stock
18581,VEREIT INC,REIT,,,REIT,REIT
18582,VERESEN INC,COMMON,,,,
18583,VERICEL CORP,COMMON,Vericel Corp Ord,Common Stock,Common Stock,Common Stock
18584,VERIFONE SYSTEMS INC,COMMON,,,,
18585,VERIFY SMART CORP,COMMON,,,Common Stock,Common Stock
18586,VERIMATRIX SA,COMMON,,,,
18587,VERINT SYSTEMS INC,COMMON,Verint Systems Inc,Common Stock,Common Stock,Common Stock
18588,VERISANTE TECHNOLOGY INC,COMMON,,,,
18589,VERISIGN INC,,VeriSign Inc,Common Stock,Common Stock,Common Stock
18590,VERISK ANALYTICS INC,,Verisk Analytics Inc,Common Stock,Common Stock,Common Stock
18591,VERITEC INC,COMMON,Veritec Inc,Common Stock,Common Stock,Common Stock
18592,VERITEQ CORP,COMMON,,,Common Stock,Common Stock
18593,VERITEX HOLDINGS INC,COMMON,Veritex Holdings Inc,Common Stock,Common Stock,Common Stock
18594,VERITIV CORP,COMMON,Veritiv Cor,Common Stock,Common Stock,Common Stock
18595,VERITONE INC,COMMON,Veritone Inc,Common Stock,Common Stock,Common Stock
18596,VERITY CORP,COMMON,,,,
18597,VERIZON COMMUNICATIONS INC,,Verizon Communications Inc,Common Stock,Common Stock,Common Stock
18598,VERMILION ENERGY INC,COMMON,Vermilion Energy Inc.,Common Stock,Common Stock,Common Stock
18599,VERNALIS PLC,COMMON,,,,
18600,VERONA PHARMA PLC - ADR,ADR,Verona Pharma PLC ADR,Common Stock,ADR,Depositary Receipt
18601,VERRA MOBILITY CORP,COMMON,Verra Mobility Corp,Common Stock,Common Stock,Common Stock
18602,VERRICA PHARMACEUTICALS INC,COMMON,Verrica Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
18603,VERSALINK HOLDINGS LTD,COMMON,Versalink Holdings Limited,Common Stock,Common Stock,Common Stock
18604,VERSAPAY CORP,COMMON,,,,
18605,VERSARIEN PLC,COMMON,Versarien PLC,Common Stock,Common Stock,Common Stock
18606,VERSO CORP - A,COMMON,,,Common Stock,Common Stock
18607,VERTEX CORP/JAPAN,COMMON,Vertex Corp,Common Stock,Common Stock,Common Stock
18608,VERTEX ENERGY INC,COMMON,Vertex Energy Inc,Common Stock,Common Stock,Common Stock
18609,VERTEX PHARMACEUTICALS INC,,Vertex Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
18610,VERTEX RESOURCE GROUP LTD,COMMON,Vertex Resource Group Ltd,Common Stock,Common Stock,Common Stock
18611,VERTU CAPITAL LTD,COMMON,,,Common Stock,Common Stock
18612,VERTU MOTORS PLC,COMMON,Vertu Motors Plc,Common Stock,Common Stock,Common Stock
18613,VERU INC,COMMON,Veru Inc,Common Stock,Common Stock,Common Stock
18614,VERUS INTERNATIONAL INC,COMMON,Verus International Inc,Common Stock,Common Stock,Common Stock
18615,VESTAS WIND SYSTEMS A/S,COMMON,Vestas Wind Systems A/S,Common Stock,Common Stock,Common Stock
18616,VESTATE GROUP,COMMON,,,Common Stock,Common Stock
18617,VESTCORP AG,COMMON,,,,
18618,VESTIAGE INC,COMMON,,,Common Stock,Common Stock
18619,VESTIN REALTY MORTGAGE I INC,REIT,Vestin Realty Mortgage I Inc,Common Stock,,
18620,VESTIN REALTY MORTGAGE II,REIT,Vestin Realty Mortgage II Inc,Common Stock,REIT,REIT
18621,VESUVIUS INDIA LIMITED,COMMON,Vesuvius India Limited,Common Stock,Common Stock,Common Stock
18622,VETO SWITCHGEARS AND CABLES,COMMON,Veto Switchgears And Cables Limited,Common Stock,Common Stock,Common Stock
18623,VETROPACK HOLDING AG-BR,COMMON,,,Common Stock,Common Stock
18624,VF CORP,,VF Corporation,Common Stock,Common Stock,Common Stock
18625,VG LIFE SCIENCES INC,COMMON,Vg Life Sciences Inc,Common Stock,Common Stock,Common Stock
18626,VGTEL INC,COMMON,Vgtel Inc.,Common Stock,Common Stock,Common Stock
18627,VHGI HOLDINGS INC,COMMON,,,,
18628,VIA HOLDINGS INC,COMMON,VIA Holdings Inc,Common Stock,Common Stock,Common Stock
18629,VIACOM INC,,,,Common Stock,Common Stock
18630,VIADERMA INC,COMMON,Viaderma Inc,Common Stock,Common Stock,Common Stock
18631,VIASAT INC,COMMON,ViaSat Inc,Common Stock,Common Stock,Common Stock
18632,VIASPACE GREEN ENERGY INC,COMMON,,,Common Stock,Common Stock
18633,VIAVI SOLUTIONS INC,,Viavi Solutions Inc,Common Stock,Common Stock,Common Stock
18634,VIBE BIOSCIENCE LTD,COMMON,,,,
18635,VIBROPOWER CORP LTD,COMMON,VibroPower Corporation Limited,Common Stock,Common Stock,Common Stock
18636,VICEROY HOTELS LTD,COMMON,Viceroy Hotels Limited,Common Stock,Common Stock,Common Stock
18637,VICI PROPERTIES INC,REIT,VICI Properties Inc,Common Stock,REIT,REIT
18638,VICINITY CENTRES,REIT,Vicinity Centres Re Ltd,Common Stock,REIT,REIT
18639,VICO INTERNATIONAL HOLDINGS,COMMON,Vico International Holdings,Common Stock,Common Stock,Common Stock
18640,VICON HOLDINGS LTD,COMMON,Vicon Holdings Limited,Common Stock,Common Stock,Common Stock
18641,VICOR CORP,COMMON,,,,
18642,VICPLAS INTERNATIONAL LTD,COMMON,Vicplas International Ltd,Common Stock,Common Stock,Common Stock
18643,VICTOR GROUP HOLDINGS LTD,COMMON,Victor Group Holdings Ltd,Common Stock,Common Stock,Common Stock
18644,VICTOR MINING INDUSTRY GROUP,COMMON,,,Common Stock,Common Stock
18645,VICTORIA OIL & GAS PLC,COMMON,,,Common Stock,Common Stock
18646,VICTORIA PLC,COMMON,Victoria PLC,Common Stock,Common Stock,Common Stock
18647,VICTORY BANCORP INC/THE,COMMON,,,Common Stock,Common Stock
18648,VICTORY CAPITAL HOLDING - A,COMMON,Victory Capital Holdings Inc,Common Stock,Common Stock,Common Stock
18649,VICTORY CITY INTL HLDGS LTD,COMMON,,,,
18650,VICTORY GROUP LTD,COMMON,,,,
18651,VICTORY MARINE HOLDINGS CORP,COMMON,Victory Marine Holdings Corp,Common Stock,Common Stock,Common Stock
18652,VICTORY METALS INC,COMMON,,,,
18653,VICTORY MINES LTD,COMMON,,,,
18654,VICTORY NICKEL INC,COMMON,,,,
18655,VICTORY OFFICES LTD,COMMON,Victory Offices Ltd,Common Stock,Common Stock,Common Stock
18656,VICTORY OILFIELD TECH INC,COMMON,Victory Energy Corp,Common Stock,Common Stock,Common Stock
18657,VICTORY SECURITIES HOLDINGS,COMMON,Victory Securities Holdings Company Ltd,Common Stock,Common Stock,Common Stock
18658,VICTORY SUPERMARKET CHAIN LT,COMMON,Victory Supermarket Chain Ltd,Common Stock,Common Stock,Common Stock
18659,VICTREX PLC,COMMON,Victrex plc,Common Stock,Common Stock,Common Stock
18660,VICTURA CONSTRUCTION GROUP I,COMMON,,,Common Stock,Common Stock
18661,VIDA GREEN LTD,COMMON,,,Common Stock,Common Stock
18662,VIDENT CORE US BOND STRATEGY,ETF,Vident Core U.S. Bond Strategy ETF™,ETF,ETP,Mutual Fund
18663,VIDENT INTERNATIONAL EQUITY,ETF,Vident International Equity Fund™,ETF,ETP,Mutual Fund
18664,VIDEO DISPLAY CORP,COMMON,Video Display Corporation,Common Stock,Common Stock,Common Stock
18665,VIDEO RIVER NETWORKS INC,COMMON,Video River Networks,Common Stock,Common Stock,Common Stock
18666,VIDEOCON INDUSTRIES LTD,COMMON,Videocon Industries Limited,Common Stock,Common Stock,Common Stock
18667,VIEMED HEALTHCARE INC,COMMON,Viemed Healthcare Inc,Common Stock,Common Stock,Common Stock
18668,VIENNA INSURANCE GROUP AG,COMMON,Vienna Insurance Group AG,Common Stock,Common Stock,Common Stock
18669,VIENTO GROUP LTD,COMMON,,,Common Stock,Common Stock
18670,VIETNAM MANUFACTURING & EXPO,COMMON,,,,
18671,VIEW SYSTEMS INC,COMMON,View Systems Inc,Common Stock,Common Stock,Common Stock
18672,VIEWCAST.COM INC,COMMON,Viewcast.Com,Common Stock,Common Stock,Common Stock
18673,VIEWRAY INC,COMMON,ViewRay Inc,Common Stock,Common Stock,Common Stock
18674,VIEWTRAN GROUP INC,COMMON,Viewtran Group Inc,Common Stock,Common Stock,Common Stock
18675,VIFOR PHARMA AG,COMMON,,,,
18676,VIGIL HEALTH SOLUTIONS INC.,COMMON,,,,
