ISIN,Name_197,longName-FIGI,fuzz_socre1,check-FIGI
IL0002780109,FANTASY NETWORK LTD,WILK TECHNOLOGIES LTD,40,0
US33734X3098,FIRST TRUST NASDAQ GLOBAL AU,FIRST TRUST S-NETWORK FUTURE,54,1
JP3807770007,FUJIO FOOD SYSTEM CO LTD,FUJIO FOOD GROUP INC,55,1
JP3386460004,GENE TECHNO SCIENCE CO LTD,KIDSWELL BIO CORP,23,0
GB00BYRH4982,GRESHAM HOUSE STRATEGIC PLC,ROCKWOOD STRATEGIC PLC,53,0
FR0011038348,GROUPE ACTIPLAY,KLARSEN,36,0
KYG394071040,GUORUI PROPERTIES LTD,GLORY HEALTH INDUSTRY LTD,35,0
IM00B5VQMV65,GVC HOLDINGS PLC.,ENTAIN PLC,46,0
JP3142450000,IDEA INTERNATIONAL CO LTD,BRUNO INC,24,0
US48123V1026,J2 GLOBAL INC,ZIFF DAVIS INC,44,0
JP3389400007,JANOME SEWING MACHINE CO LTD,JANOME CORP,46,1
JP3710700000,JAPAN THIRD PARTY CO LTD,JTP CO LTD,53,1
JP3385950005,JC COMSA CORP,DELSOLE CORP,40,0
GB0003463402,JUPITER US SMALLER COMPANIES,BROWN ADVISORY US SMALLER CO,46,0
NZKMDE0001S3,KATHMANDU HOLDINGS LTD,KMD BRANDS LTD,56,1
JP3226700007,KAWANISHI HOLDINGS INC,OLBA HEALTHCARE HOLDINGS INC,56,0
CNE000001CP8,KEDA CLEAN ENERGY CO LTD-A,KEDA INDUSTRIAL GROUP CO LTD,52,1
CNE000001HF8,KEDA GROUP CO LTD -A,ZHEWEN INTERACTIVE GROUP C-A,55,0
GB00BD8GP619,KEFI MINERALS PLC,KEFI GOLD AND COPPER PLC,39,1
JP3254200003,KYOWA EXEO CORP.,EXEO GROUP INC,41,1
US5207761058,LAWSON PRODUCTS INC,DISTRIBUTION SOLUTIONS GROUP,43,0
JP3980300002,LEGS CO LTD,CL HOLDINGS INC,46,0
US5290431015,LEXINGTON REALTY TRUST,LXP INDUSTRIAL TRUST,57,0
US53261M1045,LIMELIGHT NETWORKS INC,EDGIO INC,19,0
JP3862960006,MACNICA FUJI ELECTRONICS HOL,MACNICA HOLDINGS INC,46,1
JP3869010003,MATSUMOTOKIYOSHI HOLDINGS CO,MATSUKIYOCOCOKARA & CO,50,0
AU000000MXI3,MAXITRANS INDUSTRIES LIMITED,MAXIPARTS LTD,44,1
US58502B1061,MEDNAX INC,PEDIATRIX MEDICAL GROUP INC,49,0
IL0010826191,MER TELEMANAGEMENT SOLUTIONS,SHARPLINK GAMING LTD,25,0
AU0000018236,NICKEL MINES LTD,NICKEL INDUSTRIES LTD,54,1
JP3754200008,NIHON UNISYS LTD,BIPROGY INC,15,0
