country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,industry-IB,longName-IB,marketName-IB,Symbol-IB,Country-IB,Exchange-IB,Currency-IB
canada,Autocanada Inc,Autocanada Inc,CAD,ACQ,equity,CA05277B2093,AUTOCANADA INC,"Consumer, Cyclical",AUTOCANADA INC,ACQ,ACQ,Canada,TSE,CAD
united states,Autodesk,Autodesk Inc,USD,ADSK,equity,US0527691069,AUTODESK INC,Technology,AUTODESK INC,NMS,ADSK,,,
united states,Autolus Therapeutics,Autolus Therapeutics Ltd,USD,AUTL,equity,US05280R1005,AUTOLUS THERAPEUTICS PLC,"Consumer, Non-cyclical",AUTOLUS THERAPEUTICS PLC,NMS,AUTL,,,
united states,ADP,Automatic Data Processing Inc,USD,ADP,equity,US0530151036,AUTOMATIC DATA PROCESSING,"Consumer, Non-cyclical",AUTOMATIC DATA PROCESSING,NMS,ADP,,,
canada,Automotive Finco,Automotive Finco Corp,CAD,AFCC,equity,CA05329N1024,AUTOMOTIVE FINCO CORP,,AUTOMOTIVE FINCO CORP,,AFCC,Canada,VENTURE,CAD
united states,AutoNation,AutoNation Inc,USD,AN,equity,US05329W1027,AUTONATION INC,"Consumer, Cyclical",AUTONATION INC,AN,AN,,,
japan,Autonomous Control Systems,Autonomous Control Systems Laboratory Ltd,JPY,6232,equity,JP3394900009,AUTONOMOUS CONTROL SYSTEMS L,,,,,,,
australia,Autosports Group,Autosports Group Ltd,AUD,ASG,equity,AU000000ASG2,AUTOSPORTS GROUP LTD,"Consumer, Cyclical",AUTOSPORTS GROUP LTD,ASG,ASG,Australia,ASX,AUD
united states,AutoZone,AutoZone Inc,USD,AZO,equity,US0533321024,AUTOZONE INC,"Consumer, Cyclical",AUTOZONE INC,AZO,AZO,,,
canada,Auxly Cannabis,Auxly Cannabis Group Inc,CAD,XLY,equity,CA05335P1099,AUXLY CANNABIS GROUP INC,"Consumer, Non-cyclical",AUXLY CANNABIS GROUP INC,XLY,XLY,Canada,VENTURE,CAD
united states,Avalon,Avalon Holdings Corp,USD,AWX,equity,US05343P1093,AVALON HOLDINGS CORP-A,"Consumer, Non-cyclical",AVALON HOLDINGS CORP-A,AWX,AWX,,,
united states,AvalonBay,AvalonBay Communities Inc,USD,AVB,equity,US0534841012,AVALONBAY COMMUNITIES INC,Financial,AVALONBAY COMMUNITIES INC,AVB,AVB,,,
united states,Avanos Medical,Avanos Medical Inc,USD,AVNS,equity,US05350V1061,AVANOS MEDICAL INC,"Consumer, Non-cyclical",AVANOS MEDICAL INC,AVNS,AVNS,,,
japan,Avant,Avant Corp,JPY,3836,equity,JP3548680002,AVANT CORP,Technology,AVANT CORP,3836,3836,Japan,TSEJ,JPY
canada,Avante Logixx,Avante Logixx Inc,CAD,XX,equity,CA05351B3074,AVANTE LOGIXX INC,"Consumer, Non-cyclical",AVANTE LOGIXX INC,XX,XX,Canada,VENTURE,CAD
czech republic,Avast,Avast PLC,CZK,AVST,equity,GB00BDD85M81,AVAST PLC,Technology,AVAST PLC,SET1,AVST,United Kingdom,LSE,GBP
australia,Aveo Group,Aveo Group,AUD,AOG,equity,AU000000AOG1,AVEO GROUP,Financial,AVEO GROUP,AOG,AOG,,,
israel,Averbuch Formica,Averbuch Formica Center Ltd,ILS,AVER,equity,IL0006750173,AVERBUCH FORMICA CENTER LTD,Industrial,AVERBUCH FORMICA CENTER LTD,AVER,AVER,Israel,TASE,ILS
united states,Avery Dennison,Avery Dennison Corp,USD,AVY,equity,US0536111091,AVERY DENNISON CORP,"Consumer, Non-cyclical",AVERY DENNISON CORP,AVY,AVY,,,
canada,Avesoro Resources,Avesoro Resources Inc,CAD,ASO,equity,CA05366A3029,AVESORO RESOURCES INC,Basic Materials,AVESORO RESOURCES INC,ASO,ASO,,,
united kingdom,Aveva,AVEVA Group PLC,GBP,AVV,equity,GB00BBG9VN75,AVEVA GROUP PLC,Technology,AVEVA GROUP PLC,SET1,AVV,United Kingdom,LSE,GBP
israel,Avgol Industries,Avgol Industries 1953 Ltd,ILS,AVGL,equity,IL0011009573,AVGOL INDUSTRIES 1953 LTD,"Consumer, Cyclical",AVGOL INDUSTRIES 1953 LTD,AVGL,AVGL,Israel,TASE,ILS
united states,Aviat,Aviat Networks Inc,USD,AVNW,equity,US05366Y2019,AVIAT NETWORKS INC,Communications,AVIAT NETWORKS INC,NMS,AVNW,,,
china,Avic Aircraft A,AVIC Aircraft Co Ltd,CNY,000768,equity,CNE000000RF9,AVIC AIRCRAFT CO LTD-A,,,,,,,
united states,Avid,Avid Technology Inc,USD,AVID,equity,US05367P1003,AVID TECHNOLOGY INC,Technology,AVID TECHNOLOGY INC,NMS,AVID,,,
united kingdom,Avingtrans,Avingtrans Plc,GBP,AVG,equity,GB0009188797,AVINGTRANS PLC,Industrial,AVINGTRANS PLC,ASQ1,AVG,United Kingdom,LSE,GBP
united states,Avis,Avis Budget Group Inc,USD,CAR,equity,US0537741052,AVIS BUDGET GROUP INC,"Consumer, Non-cyclical",AVIS BUDGET GROUP INC,NMS,CAR,,,
canada,Avivagen,Avivagen Inc,CAD,VIV,equity,CA05382F2026,AVIVAGEN INC,"Consumer, Non-cyclical",AVIVAGEN INC,VIV,VIV,Canada,VENTURE,CAD
australia,Avjennings,Avjennings Ltd,AUD,AVJ,equity,AU000000AVJ0,AVJENNINGS LTD,Financial,AVJENNINGS LTD,AVJ,AVJ,Australia,ASX,AUD
united states,Avnet,Avnet Inc,USD,AVT,equity,US0538071038,AVNET INC,Industrial,AVNET INC,NMS,AVT,Germany,NASDAQ,USD
mexico,Avon Products,Avon Products Inc,MXN,AVP,equity,US0543031027,AVON PRODUCTS,,,,,,,
united states,AVROBIO,AVROBIO Inc,USD,AVRO,equity,US05455M1009,AVROBIO INC,"Consumer, Non-cyclical",AVROBIO INC,NMS,AVRO,,,
germany,AVX,AVX Corp,EUR,AVX,equity,US0024441075,AVX CORP,Technology,AVX CORP,AVX,AVX,,,
australia,Avz Minerals Ltd,Avz Minerals Ltd,AUD,AVZ,equity,AU000000AVZ6,AVZ MINERALS LTD,Basic Materials,AVZ MINERALS LTD,AVZ,AVZ,Australia,ASX,AUD
sweden,Awardit,Awardit AB,SEK,AWRD,equity,SE0010101824,AWARDIT AB,Communications,AWARDIT AB,AWRD,AWRD,Sweden,SFB,SEK
norway,Awilco Drilling,Awilco Drilling PLC,NOK,AWDR,equity,GB00B5LJSC86,AWILCO DRILLING PLC,Energy,AWILCO DRILLING PLC,AWDR,AWDR,Norway,OSE,NOK
united states,Axalta Coating Systems,Axalta Coating Systems Ltd,USD,AXTA,equity,BMG0750C1082,AXALTA COATING SYSTEMS LTD,Basic Materials,AXALTA COATING SYSTEMS LTD,AXTA,AXTA,,,
united states,Axcelis,Axcelis Technologies Inc,USD,ACLS,equity,US0545402085,AXCELIS TECHNOLOGIES INC,Technology,AXCELIS TECHNOLOGIES INC,NMS,ACLS,,,
japan,Axel Mark,Axel Mark Inc,JPY,3624,equity,JP3108130000,AXEL MARK INC,Communications,AXEL MARK INC,3624,3624,Japan,TSEJ,JPY
japan,Axial Retailing Inc,Axial Retailing Inc,JPY,8255,equity,JP3772400002,AXIAL RETAILING INC,"Consumer, Non-cyclical",AXIAL RETAILING INC,8255,8255,Japan,TSEJ,JPY
australia,Axiom Properties Ltd,Axiom Properties Ltd,AUD,AXI,equity,AU000000AXI8,AXIOM PROPERTIES LIMITED,Financial,AXIOM PROPERTIES LIMITED,AXI,AXI,Australia,ASX,AUD
canada,Axis Auto Finance,Axis Auto Finance Inc,CAD,AXIS,equity,CA05465J1057,AXIS AUTO FINANCE INC,Financial,AXIS AUTO FINANCE INC,AXIS,AXIS,Canada,VENTURE,CAD
united states,Axis Capital,AXIS Capital Holdings Ltd,USD,AXS,equity,BMG0692U1099,AXIS CAPITAL HOLDINGS LTD,Financial,AXIS CAPITAL HOLDINGS LTD,AXS,AXS,Germany,NYSE,USD
united states,Axon Enterprise,Axon Enterprise Inc,USD,AAXN,equity,US05464C1018,AXON ENTERPRISE INC,,,,,,,
united states,Axovant Gene,Axovant Gene Therapies Ltd,USD,AXGT,equity,BMG0750W2037,AXOVANT GENE THERAPIES LTD,,,,,,,
united states,AXT,AXT Inc,USD,AXTI,equity,US00246W1036,AXT INC,Technology,AXT INC,NMS,AXTI,,,
japan,Azbil Corp,Azbil Corp,JPY,6845,equity,JP3937200008,AZBIL CORP,Industrial,AZBIL CORP,6845,6845,Japan,TSEJ,JPY
japan,Azearth,Azearth Corp,JPY,3161,equity,JP3120070002,AZEARTH CORP,"Consumer, Cyclical",AZEARTH CORP,3161,3161,Japan,TSEJ,JPY
japan,Azia,Azia Co Ltd,JPY,2352,equity,JP3160770008,AZIA CO LTD,,,,,,,
israel,Azrieli Group,Azrieli Group Ltd,ILS,AZRG,equity,IL0011194789,AZRIELI GROUP LTD,Financial,AZRIELI GROUP LTD,AZRG,AZRG,Israel,TASE,ILS
australia,Azumah Resources,Azumah Resources Ltd,AUD,AZM,equity,AU000000AZM5,AZUMAH RESOURCES LTD,Basic Materials,AZUMAH RESOURCES LTD,AZM,AZM,,,
australia,Azure Healthcare Ltd,Azure Healthcare Ltd,AUD,AZV,equity,AU000000AZV6,AZURE HEALTHCARE LTD,,AZURE HEALTHCARE LTD,,AZV,Australia,ASX,AUD
australia,Azure Minerals,Azure Minerals Ltd,AUD,AZS,equity,AU000000AZS2,AZURE MINERALS LTD,Basic Materials,AZURE MINERALS LTD,AZS,AZS,Australia,ASX,AUD
united states,B Communications,B Communications Ltd,USD,BCOM,equity,IL0011076630,B COMMUNICATIONS LTD,Communications,B COMMUNICATIONS LTD,BCOM,BCOM,Israel,NASDAQ,USD
japan,B-R 31 Ice Cream,B-R 31 Ice Cream Co Ltd,JPY,2268,equity,JP3799600006,B-R 31 ICE CREAM CO LTD,"Consumer, Cyclical",B-R 31 ICE CREAM CO LTD,2268,2268,Japan,TSEJ,JPY
germany,Babcock International,Babcock International Group PLC,EUR,BAB,equity,GB0009697037,BABCOCK INTERNATIONAL GROUP PLC,"Consumer, Non-cyclical",BABCOCK INTERNATIONAL GROUP PLC,STMM,BAB,Mexico,LSE,GBP
australia,Baby Bunting Group Ltd,Baby Bunting Group Ltd,AUD,BBN,equity,AU000000BBN2,BABY BUNTING GROUP LTD,"Consumer, Cyclical",BABY BUNTING GROUP LTD,BBN,BBN,Australia,ASX,AUD
israel,Babylon,Babylon Ltd,ILS,BBYL,equity,IL0011016669,BABYLON LTD,,,,,,,
united states,Badger Meter,Badger Meter Inc,USD,BMI,equity,US0565251081,BADGER METER INC,Industrial,BADGER METER INC,BMI,BMI,,,
hong kong,BAIC Motor Corp Ltd,BAIC Motor Corp Ltd,HKD,1958,equity,CNE100001TJ4,BAIC MOTOR CORP LTD-H,"Consumer, Cyclical",BAIC MOTOR CORP LTD-H,1958,1958,Hong Kong,SEHK,HKD
united kingdom,Baillie Gifford Japan,Baillie Gifford Japan Trust,GBP,BGFD,equity,GB0000485838,BAILLIE GIFFORD JAPAN TRUST,,BAILLIE GIFFORD JAPAN TRUST,STMM,BGFD,United Kingdom,LSE,GBP
sweden,Balco Group,Balco Group AB,SEK,BALCO,equity,SE0010323998,BALCO GROUP AB,"Consumer, Non-cyclical",BALCO GROUP AB,BALCO,BALCO,Sweden,SFB,SEK
united states,Ballantyne Strong,Ballantyne Strong Inc,USD,BTN,equity,US0585161054,BALLANTYNE STRONG INC,Industrial,BALLANTYNE STRONG INC,BTN,BTN,,,
canada,Ballard,Ballard Power Systems Inc,CAD,BLDP,equity,CA0585861085,BALLARD POWER SYSTEMS INC,Energy,BALLARD POWER SYSTEMS INC,NMS,BLDP,,,
belgium,Balta,Balta Group NV,EUR,BALTA,equity,BE0974314461,BALTA GROUP NV,"Consumer, Cyclical",BALTA GROUP NV,BALTA,BALTA,Belgium,ENEXT.BE,EUR
hong kong,Ban Loong,Ban Loong Holdings Ltd,HKD,0030,equity,BMG0865U1009,BAN LOONG HOLDINGS LTD,,BAN LOONG HOLDINGS LTD,,0030,Hong Kong,SEHK,HKD
united states,Banc of California,Banc of California Inc,USD,BANC,equity,US05990K1060,BANC OF CALIFORNIA INC,Financial,BANC OF CALIFORNIA INC,BANC,BANC,,,
united states,Bancorpsouth Bank,Bancorpsouth Bank,USD,BXS,equity,US05971J1025,BANCORPSOUTH BANK,,,,,,,
japan,Bandai Namco Holdings Inc,Bandai Namco Holdings Inc,JPY,7832,equity,JP3778630008,BANDAI NAMCO HOLDINGS INC,"Consumer, Cyclical",BANDAI NAMCO HOLDINGS INC,7832,7832,Japan,TSEJ,JPY
japan,Bando Chemical Industries,Bando Chemical Industries Ltd,JPY,5195,equity,JP3779000003,BANDO CHEMICAL INDUSTRIES,Industrial,BANDO CHEMICAL INDUSTRIES,5195,5195,Japan,TSEJ,JPY
poland,Bank Handlowy w Warszawie,Bank Handlowy w Warszawie SA,PLN,BHW,equity,PLBH00000012,BANK HANDLOWY W WARSZAWIE SA,Financial,BANK HANDLOWY W WARSZAWIE SA,BHW,BHW,Poland,WSE,PLN
argentina,Bank of America DRC,Bank of America Corp DRC,ARS,BAC,equity,ARDEUT112851,BANK OF AMERICA CORP,Financial,BANK OF AMERICA CORP,BAC,BAC,,,
chile,Bank of America,Bank of America Corp,USD,BAC,equity,US0605051046,BANK OF AMERICA CORP,Financial,BANK OF AMERICA CORP,BAC,BAC,,,
china,Bank of Chengdu,Bank of Chengdu Co Ltd,CNY,601838,equity,CNE100002SN6,BANK OF CHENGDU CO LTD-A,Financial,BANK OF CHENGDU CO LTD-A,601838,601838,China,SEHKNTL,CNH
hong kong,Bank of China H,Bank of China Ltd H,HKD,3988,equity,CNE1000001Z5,BANK OF CHINA LTD - H,Financial,BANK OF CHINA LTD - H,3988,3988,Hong Kong,SEHK,HKD
hong kong,Bank of Communications,Bank of Communications Co Ltd,HKD,3328,equity,CNE100000205,BANK OF COMMUNICATIONS CO-H,Financial,BANK OF COMMUNICATIONS CO-H,3328,3328,Hong Kong,SEHK,HKD
cyprus,Bank of Cyprus,Bank Of Cyprus Holdings PCL,EUR,BOCH,equity,IE00BD5B1Y92,BANK OF CYPRUS HOLDINGS PLC,Financial,BANK OF CYPRUS HOLDINGS PLC,SSMU,BOCH,,,
canada,Bank of Montreal,Bank of Montreal,CAD,BMO,equity,CA0636711016,BANK OF MONTREAL,Financial,BANK OF MONTREAL,BMO,BMO,,,
canada,Bank of Nova Scotia,Bank of Nova Scotia,CAD,BNS,equity,CA0641491075,BANK OF NOVA SCOTIA,Financial,BANK OF NOVA SCOTIA,BNS,BNS,Mexico,NYSE,USD
united states,Bank Ozk,Bank Ozk,USD,OZK,equity,US06417N1037,BANK OZK,Financial,BANK OZK,NMS,OZK,,,
united kingdom,Bankers,Bankers Investment Trust,GBP,BNKR,equity,GB0000767003,BANKERS INVESTMENT TRUST,,BANKERS INVESTMENT TRUST,STMM,BNKR,United Kingdom,LSE,GBP
united states,BankUnited,BankUnited Inc,USD,BKU,equity,US06652K1034,BANKUNITED INC,Financial,BANKUNITED INC,BKU,BKU,,,
united states,Bankwell,Bankwell Financial Group Inc,USD,BWFG,equity,US06654A1034,BANKWELL FINANCIAL GROUP INC,Financial,BANKWELL FINANCIAL GROUP INC,NMS,BWFG,,,
australia,Bannerman Resources,Bannerman Resources Ltd,AUD,BMN,equity,AU000000BMN9,BANNERMAN RESOURCES LTD,,,,,,,
japan,Banners,Banners Co Ltd,JPY,3011,equity,JP3864600006,BANNERS CO LTD,"Consumer, Cyclical",BANNERS CO LTD,3011,3011,Japan,TSEJ,JPY
switzerland,Banque Cantonale de Geneve,Banque Cantonale de Geneve,CHF,BCGE,equity,CH0350494719,BANQUE CANTONALE DE GENEV-BR,Financial,BANQUE CANTONALE DE GENEV-BR,BCGE,BCGE,Switzerland,EBS,CHF
australia,Bapcor,Bapcor Ltd,AUD,BAP,equity,AU000000BAP9,BAPCOR LTD,"Consumer, Cyclical",BAPCOR LTD,BAP,BAP,Australia,ASX,AUD
united states,Bar Harbor Bankshares,Bar Harbor Bankshares,USD,BHB,equity,US0668491006,BAR HARBOR BANKSHARES,Financial,BAR HARBOR BANKSHARES,BHB,BHB,,,
switzerland,Barclays,Barclays PLC,CHF,BARC,equity,GB0031348658,BARCLAYS PLC,Financial,BARCLAYS PLC,SET1,BARC,Germany,LSE,GBP
belgium,Barco,Barco NV,EUR,BAR,equity,BE0003790079,BARCO N.V.,Industrial,BARCO N.V.,BAR,BAR,Belgium,ENEXT.BE,EUR
canada,Bard Ventures,Bard Ventures Ltd,CAD,CBS,equity,CA0673964080,BARD VENTURES LTD,,BARD VENTURES LTD,,CBS,Canada,VENTURE,CAD
united kingdom,Baring,Baring Emerging Europe Plc,GBP,BEE,equity,GB0032273343,BARING EMERGING EUROPE PLC,,BARING EMERGING EUROPE PLC,,BEE,United Kingdom,LSE,GBP
canada,Barkerville Gold Mines,Barkerville Gold Mines Ltd,CAD,BGM,equity,CA0676421088,BARKERVILLE GOLD MINES LTD,Basic Materials,BARKERVILLE GOLD MINES LTD,BGM,BGM,,,
united states,Barnes,Barnes Group Inc,USD,B,equity,US0678061096,BARNES GROUP INC,Industrial,BARNES GROUP INC,B,B,,,
united states,Barnwell Industries,Barnwell Industries Inc,USD,BRN,equity,US0682211000,BARNWELL INDUSTRIES INC,Energy,BARNWELL INDUSTRIES INC,BRN,BRN,,,
japan,Baroque Japan,Baroque Japan Ltd,JPY,3548,equity,JP3778450001,BAROQUE JAPAN LTD,"Consumer, Cyclical",BAROQUE JAPAN LTD,3548,3548,Japan,TSEJ,JPY
united kingdom,Barratt Developments,Barratt Developments PLC,GBP,BDEV,equity,GB0000811801,BARRATT DEVELOPMENTS PLC,"Consumer, Cyclical",BARRATT DEVELOPMENTS PLC,SET1,BDEV,United Kingdom,LSE,GBP
united states,Barrett,Barrett Business Services Inc,USD,BBSI,equity,US0684631080,BARRETT BUSINESS SVCS INC,"Consumer, Non-cyclical",BARRETT BUSINESS SVCS INC,NMS,BBSI,,,
canada,Barsele Minerals,Barsele Minerals Corp,CAD,BME,equity,CA0688921083,BARSELE MINERALS CORP,Basic Materials,BARSELE MINERALS CORP,BME,BME,Canada,VENTURE,CAD
mexico,BASF,BASF SE,MXN,BASN,equity,DE000BASF111,BASF SE,Basic Materials,BASF SE,BASN,BASN,Mexico,MEXI,MXN
australia,Bass Metals Ltd,Bass Metals Ltd,AUD,BSM,equity,AU000000BSM8,BASS METALS LTD,,BASS METALS LTD,,BSM,Australia,ASX,AUD
australia,Bassari Resources Ltd,Bassari Resources Ltd,AUD,BSR,equity,AU000000BSR7,BASSARI RESOURCES LTD,,BASSARI RESOURCES LTD,,BSR,Australia,ASX,AUD
canada,Batero Gold Corp,Batero Gold Corp,CAD,BAT,equity,CA0705051021,BATERO GOLD CORP,Basic Materials,BATERO GOLD CORP,BAT,BAT,Canada,VENTURE,CAD
france,Batla Minerals,Batla Minerals SA,EUR,MLBAT,equity,FR0010436170,BATLA MINERALS SA,Basic Materials,BATLA MINERALS SA,MLBAT,MLBAT,France,SBF,EUR
israel,Batm,Batm Advanced Communications Ltd,ILS,BVC,equity,IL0010849045,BATM ADVANCED COMMUNICATIONS,"Consumer, Non-cyclical",BATM ADVANCED COMMUNICATIONS,SET3,BVC,United Kingdom,LSE,GBP
mexico,Baxter,Baxter International Inc,MXN,BAX,equity,US0718131099,BAXTER INTERNATIONAL INC,"Consumer, Non-cyclical",BAXTER INTERNATIONAL INC.,BAX,BAX,,,
united states,BayCom,BayCom Corp,USD,BCML,equity,US07272M1071,BAYCOM CORP,Financial,BAYCOM CORP,NMS,BCML,,,
israel,Bayside Land,Bayside Land Corporation Ltd,ILS,BYSD,equity,IL0007590198,BAYSIDE LAND CORPORATION LTD,,BAYSIDE LAND CORPORATION LTD,,BYSD,Israel,TASE,ILS
canada,Baytex Energy Corp,Baytex Energy Corp,CAD,BTE,equity,CA07317Q1054,BAYTEX ENERGY CORP,Energy,BAYTEX ENERGY CORP,BTE,BTE,,,
hong kong,BBI Life Sciences,BBI Life Sciences Corp,HKD,1035,equity,KYG1089Y1180,BBI LIFE SCIENCES CORP,"Consumer, Non-cyclical",BBI LIFE SCIENCES CORP,1035,1035,Hong Kong,VALUE,HKD
united states,BCB Bancorp,BCB Bancorp Inc,USD,BCBP,equity,US0552981039,BCB BANCORP INC,Financial,BCB BANCORP INC,NMS,BCBP,,,
canada,BCE Inc.,BCE Inc.,CAD,BCE,equity,CA05534B7604,BCE INC,Communications,BCE INC,BCE,BCE,,,
france,Bd Multimedia,Bd Multimedia,EUR,ALBDM,equity,FR0000035305,BD MULTIMEDIA,Communications,BD MULTIMEDIA,ALBDM,ALBDM,France,SBF,EUR
sweden,BE Group AB,BE Group AB,SEK,BEGR,equity,SE0008321921,BE GROUP AB,Basic Materials,BE GROUP AB,BEGR,BEGR,Sweden,SFB,SEK
netherlands,BE Semiconductor,BE Semiconductor Industries NV,EUR,BESI,equity,NL0012866412,BE SEMICONDUCTOR INDUSTRIES,Technology,BE SEMICONDUCTOR INDUSTRIES,BESI,BESI,Netherlands,AEB,EUR
australia,Beacon Lighting Group Ltd,Beacon Lighting Group Ltd,AUD,BLX,equity,AU000000BLX0,BEACON LIGHTING GROUP LTD,Industrial,BEACON LIGHTING GROUP LTD,BLX,BLX,Australia,ASX,AUD
australia,Beacon Minerals Ltd,Beacon Minerals Ltd,AUD,BCN,equity,AU000000BCN0,BEACON MINERALS LTD,Basic Materials,BEACON MINERALS LTD,BCN,BCN,Australia,ASX,AUD
united states,Beacon Roofing,Beacon Roofing Supply Inc,USD,BECN,equity,US0736851090,BEACON ROOFING SUPPLY INC,"Consumer, Cyclical",BEACON ROOFING SUPPLY INC,NMS,BECN,,,
japan,Beaglee,Beaglee Inc,JPY,3981,equity,JP3799710003,BEAGLEE INC,Communications,BEAGLEE INC,3981,3981,Japan,TSEJ,JPY
canada,Bear Creek Mining,Bear Creek Mining Corporation,CAD,BCM,equity,CA07380N1042,BEAR CREEK MINING CORPORATION,Basic Materials,BEAR CREEK MINING CORPORATION,BCM,BCM,Canada,VENTURE,CAD
canada,Bearing Lithium,Bearing Lithium Corp,CAD,BRZ,equity,CA0738981087,BEARING LITHIUM CORP,Basic Materials,BEARING LITHIUM CORP,BRZ,BRZ,Canada,VENTURE,CAD
japan,Beauty Kadan,Beauty Kadan Co Ltd,JPY,3041,equity,JP3800470001,BEAUTY KADAN CO LTD,"Consumer, Cyclical",BEAUTY KADAN CO LTD,3041,3041,Japan,TSEJ,JPY
united states,Beazer Homes USA,Beazer Homes USA Inc,USD,BZH,equity,US07556Q8814,BEAZER HOMES USA INC,"Consumer, Cyclical",BEAZER HOMES USA INC,BZH,BZH,,,
united states,bebe stores,bebe stores inc,USD,BEBE,equity,US0755712082,BEBE STORES INC,"Consumer, Cyclical",BEBE STORES INC,BEBE,BEBE,,,
mexico,Bed Bath&Beyond,Bed Bath & Beyond Inc,MXN,BBBY,equity,US0758961009,BED BATH & BEYOND INC,"Consumer, Cyclical",BED BATH & BEYOND INC,NMS,BBBY,,,
japan,Beenos,Beenos Inc,JPY,3328,equity,JP3758110005,BEENOS INC,Communications,BEENOS INC,3328,3328,Japan,TSEJ,JPY
china,Befar Group,Befar Group Co Ltd,CNY,601678,equity,CNE100000L97,BEFAR GROUP CO LTD-A,Basic Materials,BEFAR GROUP CO LTD-A,601678,601678,China,SEHKNTL,CNH
australia,Bega Cheese,Bega Cheese Ltd,AUD,BGA,equity,AU000000BGA8,BEGA CHEESE LTD,"Consumer, Non-cyclical",BEGA CHEESE LTD,BGA,BGA,Australia,ASX,AUD
united kingdom,Begbies Traynor,Begbies Traynor Group PLC,GBP,BEG,equity,GB00B0305S97,BEGBIES TRAYNOR GROUP PLC,Financial,BEGBIES TRAYNOR GROUP PLC,AMSM,BEG,United Kingdom,LSE,GBP
hong kong,Beijing Enterprises Environment,Beijing Enterprises Environment Group Ltd,HKD,0154,equity,HK0154000803,BEIJING ENTERPRISES ENVIRONM,,,,,,,
china,Shougang A,Beijing Shougang Co Ltd,CNY,000959,equity,CNE000001196,BEIJING SHOUGANG CO LTD-A,Basic Materials,BEIJING SHOUGANG CO LTD-A,000959,000959,China,SEHKSZSE,CNH
china,Beiqi Foton Motor,Beiqi Foton Motor Co Ltd,CNY,600166,equity,CNE000000WC6,BEIQI FOTON MOTOR CO LTD-A,"Consumer, Cyclical",BEIQI FOTON MOTOR CO LTD-A,600166,600166,China,SEHKNTL,CNH
united states,Belden,Belden Inc,USD,BDC,equity,US0774541066,BELDEN INC,Industrial,BELDEN INC,BDC,BDC,,,
australia,Bellamys Australia Ltd,Bellamys Australia Ltd,AUD,BAL,equity,AU000000BAL8,BELLAMY'S AUSTRALIA LTD,"Consumer, Non-cyclical",BELLAMY'S AUSTRALIA LTD,BAL,BAL,,,
canada,Bellatrix Exploration,Bellatrix Exploration Ltd,CAD,BXE,equity,CA0783147055,BELLATRIX EXPLORATION LTD,Energy,BELLATRIX EXPLORATION LTD,BXE,BXE,,,
australia,Bellevue Gold,Bellevue Gold Ltd,AUD,BGL,equity,AU0000019374,BELLEVUE GOLD LTD,Basic Materials,BELLEVUE GOLD LTD,BGL,BGL,Australia,ASX,AUD
japan,BELLSYSTEM24,BELLSYSTEM24 Holdings Inc,JPY,6183,equity,JP3835760004,BELLSYSTEM24 HOLDINGS INC,Technology,BELLSYSTEM24 HOLDINGS INC,6183,6183,Japan,TSEJ,JPY
japan,Belluna Co Ltd,Belluna Co Ltd,JPY,9997,equity,JP3835650007,BELLUNA CO LTD,"Consumer, Cyclical",BELLUNA CO LTD,9997,9997,Japan,TSEJ,JPY
belgium,Beluga,Beluga,EUR,BELU,equity,BE0003723377,BELUGA,Financial,BELUGA,BELU,BELU,Belgium,ENEXT.BE,EUR
russia,Beluga,Beluga Group PAO,RUB,BELU,equity,RU000A0HL5M1,BELUGA,Financial,BELUGA,BELU,BELU,Belgium,ENEXT.BE,EUR
japan,Benefit Japan Co,Benefit Japan Co Ltd,JPY,3934,equity,JP3835680004,BENEFIT JAPAN CO LTD,Technology,BENEFIT JAPAN CO LTD,3934,3934,Japan,TSEJ,JPY
united states,Benefitfocus,Benefitfocus Inc,USD,BNFT,equity,US08180D1063,BENEFITFOCUS INC,Technology,BENEFITFOCUS INC,NMS,BNFT,,,
canada,Benton Resources Inc,Benton Resources Inc,CAD,BEX,equity,CA0832981090,BENTON RESOURCES INC,Basic Materials,BENTON RESOURCES INC,BEX,BEX,Canada,VENTURE,CAD
japan,Berg Earth,Berg Earth Co Ltd,JPY,1383,equity,JP3835730007,BERG EARTH CO LTD,"Consumer, Non-cyclical",BERG EARTH CO LTD,1383,1383,Japan,TSEJ,JPY
norway,Bergenbio,Bergenbio ASA,NOK,BGBIO,equity,NO0010650013,BERGENBIO ASA,"Consumer, Non-cyclical",BERGENBIO ASA,BGBIO,BGBIO,Norway,OSE,NOK
germany,Berkeley Energy,Berkeley Energia Ltd,EUR,BKY,equity,AU000000BKY0,BERKELEY ENERGIA LTD,Basic Materials,BERKELEY ENERGIA LTD,BKY,BKY,United Kingdom,LSE,GBP
united states,Berkshire,Berkshire Bancorp Inc,USD,BERK,equity,US0845972027,BERKSHIRE BANCORP INC,Financial,BERKSHIRE BANCORP INC,CURRENT,BERK,,,
united states,Berkshire Hills Bancorp,Berkshire Hills Bancorp Inc,USD,BHLB,equity,US0846801076,BERKSHIRE HILLS BANCORP INC,Financial,BERKSHIRE HILLS BANCORP INC,BHLB,BHLB,,,
united states,Berry Global,Berry Global Group Inc,USD,BERY,equity,US08579W1036,BERRY GLOBAL GROUP INC,Industrial,BERRY GLOBAL GROUP INC,BERY,BERY,,,
