country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,fuzz_socre1,fuzz_socre2
canada,Alderon Iron Ore,Alderon Iron Ore Corp,CAD,IRON,equity,CA01434T1003,ALDERON IRON ORE CORP,100,86
australia,ALE Property Group,ALE Property Group,AUD,LEP,equity,AU000000LEP0,ALE PROPERTY GROUP,100,100
sweden,Alelion Energy Systems,Alelion Energy Systems AB,SEK,ALELIO,equity,SE0008348072,ALELION ENERGY SYSTEMS AB,100,94
united states,Alerus Fin,Alerus Financial Corp,USD,ALRS,equity,US01446U1034,ALERUS FINANCIAL CORP,100,65
canada,Alexco Resource,Alexco Resource Corp,CAD,AXU,equity,CA01535P1062,ALEXCO RESOURCE CORP,100,86
united states,Alexion,Alexion Pharmaceuticals Inc,USD,ALXN,equity,US0153511094,ALEXION PHARMACEUTICALS INC,100,41
australia,Alexium International Group,Alexium International Group,AUD,AJX,equity,AU000000AJX6,ALEXIUM INTERNATIONAL GROUP,100,100
sweden,Alfa Laval AB,Alfa Laval AB,SEK,ALFA,equity,SE0000695876,ALFA LAVAL AB,100,100
japan,Alfresa Holdings Corp,Alfresa Holdings Corp,JPY,2784,equity,JP3126340003,ALFRESA HOLDINGS CORP,100,100
canada,Algonquin Power,Algonquin Power & Utilities Corp,CAD,AQN,equity,CA0158571053,ALGONQUIN POWER & UTILITIES,91,75
hong kong,Alibaba Health Information Tech,Alibaba Health Information Technology Ltd,HKD,0241,equity,BMG0171K1018,ALIBABA HEALTH INFORMATION T,81,95
hong kong,Alibaba Pictures,Alibaba Pictures Group Ltd,HKD,1060,equity,BMG0171W1055,ALIBABA PICTURES GROUP LTD,100,76
united states,Alico,Alico Inc,USD,ALCO,equity,US0162301040,ALICO INC,100,71
united states,Align,Align Technology Inc,USD,ALGN,equity,US0162551016,ALIGN TECHNOLOGY INC,100,40
canada,Alio Gold,Alio Gold Inc,CAD,ALO,equity,CA01627X1087,ALIO GOLD INC,100,82
united states,Alithya A,Alithya Group inc Class A,USD,ALYA,equity,CA01643B1067,ALITHYA GROUP INC-CLASS A,100,53
united states,ALJ Regional,ALJ Regional Holdings Inc,USD,ALJJ,equity,US0016271084,ALJ REGIONAL HOLDINGS INC,100,65
united states,Alkermes Plc,Alkermes Plc,USD,ALKS,equity,IE00B56GVS15,ALKERMES PLC,100,100
india,Allahabad Bank,Allahabad Bank,INR,ALBK,equity,INE428A01015,ALLAHABAD BANK,100,100
united states,Allakos,Allakos Inc,USD,ALLK,equity,US01671P1003,ALLAKOS INC,100,78
united states,Allegheny Technologies,Allegheny Technologies Incorporated,USD,ATI,equity,US01741R1023,ALLEGHENY TECHNOLOGIES INC,85,92
united states,Allegiance Bancshares Inc,Allegiance Bancshares Inc,USD,ABTX,equity,US01748H1077,ALLEGIANCE BANCSHARES INC,100,100
mexico,Allergan,Allergan PLC,MXN,AGNN,equity,IE00BY9D5467,ALLERGAN PLC,100,80
united kingdom,Allergy Therapeutics,Allergy Therapeutics,GBP,AGY,equity,GB00B02LCQ05,ALLERGY THERAPEUTICS PLC,91,91
united states,Allete,Allete Inc,USD,ALE,equity,US0185223007,ALLETE INC,100,75
australia,Alliance Aviation,Alliance Aviation Services Ltd,AUD,AQZ,equity,AU000000AQZ6,ALLIANCE AVIATION SERVICES L,97,76
united states,Alliance Data Systems,Alliance Data Systems Corp,USD,ADS,equity,US0185811082,ALLIANCE DATA SYSTEMS CORP,100,89
united states,Alliance Resource,Alliance Resource Partners LP,USD,ARLP,equity,US01877R1086,ALLIANCE RESOURCE PARTNERS,95,79
australia,Alliance Resources,Alliance Resources Ltd,AUD,AGS,equity,AU000000AGS2,ALLIANCE RESOURCES LTD,100,90
united kingdom,Alliance Trust,Alliance Trust PLC,GBP,ATST,equity,GB00B11V7W98,ALLIANCE TRUST PLC,100,88
united states,Alliant Energy,Alliant Energy Corp,USD,LNT,equity,US0188021085,ALLIANT ENERGY CORP,100,85
united kingdom,Allianz Tech,Allianz Technology Trust PLC,GBP,ATT,equity,GB0003390720,ALLIANZ TECHNOLOGY TRUST PLC,100,60
hong kong,Allied Properties HK,Allied Properties HK Ltd,HKD,0056,equity,HK0056039545,ALLIED PROPERTIES HK LTD,100,91
australia,Alligator Energy Ltd,Alligator Energy Ltd,AUD,AGE,equity,AU000000AGE2,ALLIGATOR ENERGY LTD,100,100
united states,Allison Transmission,Allison Transmission Holdings Inc,USD,ALSN,equity,US01973R1014,ALLISON TRANSMISSION HOLDING,92,83
israel,Allium Medical,Allium Medical Solutions Ltd,ILS,ALMD,equity,IL0011014508,ALLIUM MEDICAL SOLUTIONS LTD,100,67
united states,Allstate,Allstate Corp,USD,ALL,equity,US0200021014,ALLSTATE CORP,100,76
united states,Ally Financial Inc,Ally Financial Inc,USD,ALLY,equity,US02005N1000,ALLY FINANCIAL INC,100,100
canada,Almaden Minerals,Almaden Minerals Ltd,CAD,AMM,equity,CA0202833053,ALMADEN MINERALS LTD - B,95,84
canada,Almadex Minerals,Almadex Minerals Ltd,CAD,DEX,equity,CA02028L1076,ALMADEX MINERALS LTD/NEW,91,80
united states,Alnylam,Alnylam Pharmaceuticals Inc,USD,ALNY,equity,US02043Q1076,ALNYLAM PHARMACEUTICALS INC,100,41
israel,Alon Natural Gas,Alon Natural Gas Exploration Ltd,ILS,ALGS,equity,IL0011176885,ALON NATURAL GAS EXPLORATION,93,73
japan,Alpen Co Ltd,Alpen Co Ltd,JPY,3028,equity,JP3126470008,ALPEN CO LTD,100,100
japan,Alpha Group,Alpha Group Inc,JPY,3322,equity,JP3126370000,ALPHA GROUP INC,100,85
