Code-EOD,Country-EOD,Currency-EOD,Exchange-EOD,ISIN,Name-EOD,Type-EOD,previousClose-EOD,previousCloseDate-EOD,country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,Name_197,industry-IB,longName-IB,marketName-IB,Symbol-IB,Country-IB,Exchange-IB,Currency-IB
FORR,USA,USD,US,US3465631097,Forrester Research Inc,Common Stock,46.62,2022-08-02,united states,Forrester,Forrester Research Inc,USD,FORR,equity,FORRESTER RESEARCH INC,"Consumer, Non-cyclical",FORRESTER RESEARCH INC,NMS,FORR,,,
FSY,Canada,CAD,TO,CA34660G1046,Forsys Metals Corp.,Common Stock,0.74,2022-08-02,canada,Forsys Metals Corp.,Forsys Metals Corp.,CAD,FSY,equity,FORSYS METALS CORP,Basic Materials,FORSYS METALS CORP,FSY,FSY,,,
FTNT,USA,USD,US,US34959E1091,Fortinet Inc,Common Stock,60.37,2022-08-02,united states,Fortinet,Fortinet Inc,USD,FTNT,equity,FORTINET INC,Technology,FORTINET INC,NMS,FTNT,,,
FTV,USA,USD,US,US34959J1088,Fortive Corp,Common Stock,64.17,2022-08-02,united states,Fortive,Fortive Corp,USD,FTV,equity,FORTIVE CORP,,,,,,,
600965,China,CNY,SHG,CNE000001K99,Fortune Ng Fung Food Hebei Co Ltd,Common Stock,6.69,2022-08-03,china,Fortune Ng Fung Food Hebei,Fortune Ng Fung Food Hebei Co Ltd,CNY,600965,equity,FORTUNE NG FUNG FOOD HEBEI-A,"Consumer, Non-cyclical",FORTUNE NG FUNG FOOD HEBEI-A,600965,600965,China,SEHKNTL,CNH
352,Hong Kong,HKD,HK,KYG364261076,Fortune Sun China Holdings Ltd,Common Stock,0.395,2022-08-03,hong kong,Fortune Sun China,Fortune Sun China Holdings Ltd,HKD,0352,equity,FORTUNE SUN CHINA HLDGS LTD,,,,,,,
8275,Japan,JPY,TSE,JP3802750004,Forval Corp,Common Stock,863.0,2022-08-03,japan,Forval Corp,Forval Corp,JPY,8275,equity,FORVAL CORP,Communications,FORVAL CORP,8275,8275,Japan,TSEJ,JPY
FORD,USA,USD,US,US3498623004,Forward Industries Inc,Common Stock,1.6400000000000001,2022-08-02,united states,Forward Industries,Forward Industries Inc,USD,FORD,equity,FORWARD INDUSTRIES INC,Industrial,FORWARD INDUSTRIES INC,SCM,FORD,,,
FOSL,USA,USD,US,US34988V1061,Fossil Group Inc,Common Stock,6.15,2022-08-02,united states,Fossil,Fossil Group Inc,USD,FOSL,equity,FOSSIL GROUP INC,,,,,,,
6794,Japan,JPY,TSE,JP3802800007,Foster Electric Co Ltd,Common Stock,685.0,2022-08-03,japan,Foster Electric,Foster Electric Co Ltd,JPY,6794,equity,FOSTER ELECTRIC CO LTD,"Consumer, Cyclical",FOSTER ELECTRIC CO LTD,6794,6794,Japan,TSEJ,JPY
0656,Hong Kong,HKD,HK,HK0656038673,Fosun International Ltd,Common Stock,5.65,2022-08-03,hong kong,Fosun International,Fosun International Ltd,HKD,0656,equity,FOSUN INTERNATIONAL LTD,,,,,,,
1992,Hong Kong,HKD,HK,KYG365731069,Fosun Tourism Group,Common Stock,10.64,2022-08-03,hong kong,Fosun Tourism,Fosun Tourism Group,HKD,1992,equity,FOSUN TOURISM GROUP,"Consumer, Cyclical",FOSUN TOURISM GROUP,1992,1992,Hong Kong,SEHK,HKD
418,Hong Kong,HKD,HK,BMG3654D1074,Founder Holdings Ltd,Common Stock,0.44,2022-08-03,hong kong,Founder Holdings,Founder Holdings Ltd,HKD,0418,equity,FOUNDER HOLDINGS LIMITED,,,,,,,
601901,China,CNY,SHG,CNE1000015Y8,Founder Securities Co Ltd,Common Stock,6.21,2022-08-03,china,Founder Securities,Founder Securities Co Ltd,CNY,601901,equity,FOUNDER SECURITIES CO LTD-A,Financial,FOUNDER SECURITIES CO LTD-A,601901,601901,China,SEHKNTL,CNH
FA,Canada,CAD,V,CA35063X1078,Fountain Asset Corp,Common Stock,0.22,2022-07-29,canada,Fountain Asset,Fountain Asset Corp,CAD,FA,equity,FOUNTAIN ASSET CORP,Financial,FOUNTAIN ASSET CORP,FA,FA,Canada,VENTURE,CAD
FCPT,USA,USD,US,US35086T1097,Four Corners Property Trust Inc,Common Stock,28.53,2022-08-02,united states,Four Corners Property Trust Inc,Four Corners Property Trust Inc,USD,FCPT,equity,FOUR CORNERS PROPERTY TR INC,,,,,,,
FOXF,USA,USD,US,US35138V1026,Fox Factory Holding Corp,Common Stock,94.08,2022-08-02,united states,Fox Factory,Fox Factory Holding Corp,USD,FOXF,equity,FOX FACTORY HOLDING CORP,"Consumer, Cyclical",FOX FACTORY HOLDING CORP,NMS,FOXF,,,
601138,China,CNY,SHG,CNE1000031P3,Foxconn Industrial Internet Co Ltd,Common Stock,9.72,2022-08-03,china,Foxconn Industrial Internet,Foxconn Industrial Internet Co Ltd,CNY,601138,equity,FOXCONN INDUSTRIAL INTERNE-A,Industrial,FOXCONN INDUSTRIAL INTERNE-A,601138,601138,China,SEHKNTL,CNH
7947,Japan,JPY,TSE,JP3167000003,FP Corp,Common Stock,3350.0,2022-08-03,japan,FP Corp,FP Corp,JPY,7947,equity,FP CORP,Industrial,FP CORP,7947,7947,Japan,TSEJ,JPY
FP,Canada,CAD,V,CA3025862010,FP Newspapers Inc,Common Stock,1.19,2022-07-29,canada,FP Newspapers,FP Newspapers Inc,CAD,FP,equity,FP NEWSPAPERS INC,Communications,FP NEWSPAPERS INC,FP,FP,Canada,VENTURE,CAD
7840,Japan,JPY,TSE,JP3826500005,France Bed Holdings Co Ltd,Common Stock,904.0,2022-08-03,japan,France Bed Holdings,France Bed Holdings Co Ltd,JPY,7840,equity,FRANCE BED HOLDINGS CO LTD,"Consumer, Non-cyclical",FRANCE BED HOLDINGS CO LTD,7840,7840,Japan,TSEJ,JPY
FELE,USA,USD,US,US3535141028,Franklin Electric Co Inc,Common Stock,89.69,2022-08-02,united states,Franklin Electric,Franklin Electric Co Inc,USD,FELE,equity,FRANKLIN ELECTRIC CO INC,Industrial,FRANKLIN ELECTRIC CO INC,NMS,FELE,,,
FRAF,USA,USD,US,US3535251082,Franklin Financial Services Corp,Common Stock,32.03,2022-08-02,united states,Franklin Financial,Franklin Financial Services Corp,USD,FRAF,equity,FRANKLIN FINANCIAL SERVICES,Financial,FRANKLIN FINANCIAL SERVICES,SCM,FRAF,,,
BEN,USA,USD,US,US3546131018,Franklin Resources Inc,Common Stock,27.38,2022-08-02,mexico,Franklin Resources,Franklin Resources Inc,MXN,BEN,equity,FRANKLIN RESOURCES INC,Financial,FRANKLIN RESOURCES INC,BEN,BEN,Germany,US Exchange,
3843,Japan,JPY,TSE,JP3826720009,FreeBit Co Ltd,Common Stock,881.0,2022-08-03,japan,FreeBit,FreeBit Co Ltd,JPY,3843,equity,FREEBIT CO LTD,Communications,FREEBIT CO LTD,3843,3843,Japan,TSEJ,JPY
FRHC,USA,USD,US,US3563901046,Freedom Holding Corp,Common Stock,53.96,2022-08-02,united states,Freedom,Freedom Holding Corp,USD,FRHC,equity,FREEDOM HOLDING CORP/NV,Financial,FREEDOM HOLDING CORP/NV,SCM,FRHC,,,
FVL,Canada,CAD,TO,CA3564552048,Freegold Ventures Limited,Common Stock,0.5,2022-08-02,canada,Freegold Ventures,Freegold Ventures Limited,CAD,FVL,equity,FREEGOLD VENTURES LTD,Basic Materials,FREEGOLD VENTURES LTD,FVL,FVL,,,
FRU,Canada,CAD,TO,CA3565001086,Freehold Royalties Ltd.,Common Stock,14.34,2022-08-02,canada,Freehold Royalties,Freehold Royalties Ltd.,CAD,FRU,equity,FREEHOLD ROYALTIES LTD,Energy,FREEHOLD ROYALTIES LTD,FRU,FRU,,,
FLN,Australia,AUD,AU,AU000000FLN2,Freelancer Ltd,Common Stock,0.33,2022-08-03,australia,Freelancer,Freelancer Ltd,AUD,FLN,equity,FREELANCER LTD,Communications,FREELANCER LTD,FLN,FLN,Australia,ASX,AUD
FCX,USA,USD,US,US35671D8570,Freeport-McMoran Copper & Gold Inc,Common Stock,29.33,2022-08-02,mexico,Freeport-McMoran,Freeport-McMoRan Inc,MXN,FCX,equity,FREEPORT-MCMORAN INC,Basic Materials,FREEPORT-MCMORAN INC,FCX,FCX,,,
FREEF,USA,USD,US,MHY264962439,FreeSeas Inc,Common Stock,0.0002,2022-08-02,,FreeSeas Inc,,,FREEF,,FREESEAS INC,Industrial,FREESEAS INC,FREEF,FREEF,,,
RAIL,USA,USD,US,US3570231007,Freightcar America Inc,Common Stock,4.32,2022-08-02,united states,Freightcar,Freightcar America Inc,USD,RAIL,equity,FREIGHTCAR AMERICA INC,,,,,,,
FEIM,USA,USD,US,US3580101067,Frequency Electronics Inc,Common Stock,6.5,2022-08-02,united states,Frequency Electronics,Frequency Electronics Inc,USD,FEIM,equity,FREQUENCY ELECTRONICS INC,Communications,FREQUENCY ELECTRONICS INC,NMS,FEIM,,,
FDP,USA,USD,US,KYG367381053,Fresh Del Monte Produce Inc,Common Stock,30.02,2022-08-02,united states,Fresh Del Monte Produce,Fresh Del Monte Produce Inc,USD,FDP,equity,FRESH DEL MONTE PRODUCE INC,,,,,,,
FRPT,USA,USD,US,US3580391056,Freshpet Inc,Common Stock,53.3,2022-08-02,united states,Freshpet Inc,Freshpet Inc,USD,FRPT,equity,FRESHPET INC,"Consumer, Cyclical",FRESHPET INC,NMS,FRPT,,,
FRES,UK,GBX,LSE,GB00B2QPKJ12,Fresnillo PLC,Common Stock,676.6,2022-08-03,mexico,Fresnillo,Fresnillo PLC,MXN,FRES,equity,FRESNILLO PLC,Basic Materials,FRESNILLO PLC,SET1,FRES,Mexico,LSE,GBP
6312,Japan,JPY,TSE,JP3829400005,Freund Corp,Common Stock,755.0,2022-08-03,japan,Freund,Freund Corp,JPY,6312,equity,FREUND CORP,Industrial,FREUND CORP,6312,6312,Japan,TSEJ,JPY
FREY,France,EUR,PA,FR0010588079,Frey SA,Common Stock,35.2,2022-08-03,france,Frey,Frey,EUR,FREY,equity,FREY,Financial,FREY,FREY,FREY,France,SBF,EUR
FRD,USA,USD,US,US3584351056,Friedman Industries Inc,Common Stock,10.43,2022-08-02,united states,Friedman Industries,Friedman Industries Inc,USD,FRD,equity,FRIEDMAN INDUSTRIES,Basic Materials,FRIEDMAN INDUSTRIES,FRD,FRD,,,
8209,Japan,JPY,TSE,JP3829200009,Friendly Corp,Common Stock,612.0,2022-08-03,japan,Friendly,Friendly Corp,JPY,8209,equity,FRIENDLY CORP,"Consumer, Cyclical",FRIENDLY CORP,8209,8209,Japan,TSEJ,JPY
1521,Hong Kong,HKD,HK,KYG3679P1019,Frontage Holdings Corp,Common Stock,2.6,2022-08-03,hong kong,Frontage Holdings,Frontage Holdings Corp,HKD,1521,equity,FRONTAGE HOLDINGS CORP,"Consumer, Non-cyclical",FRONTAGE HOLDINGS CORP,1521,1521,Hong Kong,SEHK,HKD
FTDR,USA,USD,US,US35905A1097,Frontdoor Inc,Common Stock,26.19,2022-08-02,united states,Frontdoor,Frontdoor Inc,USD,FTDR,equity,FRONTDOOR INC,Industrial,FRONTDOOR INC,NMS,FTDR,,,
2158,Japan,JPY,TSE,JP3944630007,FRONTEO Inc,Common Stock,986.0,2022-08-03,japan,FRONTEO,FRONTEO Inc,JPY,2158,equity,FRONTEO INC,"Consumer, Non-cyclical",FRONTEO INC,2158,2158,Japan,TSEJ,JPY
7050,Japan,JPY,TSE,JP3829520000,Frontier International Inc,Common Stock,3950.0,2022-08-03,japan,Frontier International,Frontier International Inc,JPY,7050,equity,FRONTIER INTERNATIONAL INC,Communications,FRONTIER INTERNATIONAL INC,7050,7050,Japan,TSEJ,JPY
7038,Japan,JPY,TSE,JP3829550007,Frontier Management Inc,Common Stock,1509.0,2022-08-03,japan,Frontier Management,Frontier Management Inc,JPY,7038,equity,FRONTIER MANAGEMENT INC,"Consumer, Non-cyclical",FRONTIER MANAGEMENT INC,7038,7038,Japan,TSEJ,JPY
FSBW,USA,USD,US,US30263Y1047,FS Bancorp Inc,Common Stock,30.04,2022-08-02,united states,FS Bancorp,FS Bancorp Inc,USD,FSBW,equity,FS BANCORP INC,Financial,FS BANCORP INC,SCM,FSBW,,,
2763,Japan,JPY,TSE,JP3166940001,FTGroup Co Ltd,Common Stock,908.0,2022-08-03,japan,FTGroup,FTGroup Co Ltd,JPY,2763,equity,FTGROUP CO LTD,"Consumer, Cyclical",FTGROUP CO LTD,2763,2763,Japan,TSEJ,JPY
FCN,USA,USD,US,US3029411093,FTI Consulting Inc,Common Stock,161.49,2022-08-02,united states,FTI Consulting,FTI Consulting Inc,USD,FCN,equity,FTI CONSULTING INC,"Consumer, Non-cyclical",FTI CONSULTING INC,FCN,FCN,,,
FCEL,USA,USD,US,US35952H6018,FuelCell Energy Inc,Common Stock,3.7,2022-08-02,united states,FuelCell Energy,FuelCell Energy Inc,USD,FCEL,equity,FUELCELL ENERGY INC,Energy,FUELCELL ENERGY INC,NMS,FCEL,,,
546,Hong Kong,HKD,HK,KYG368441195,Fufeng Group Ltd,Common Stock,4.34,2022-08-03,hong kong,Fufeng Group Ltd,Fufeng Group Ltd,HKD,0546,equity,FUFENG GROUP LTD,,,,,,,
6504,Japan,JPY,TSE,JP3820000002,Fuji Electric Co. Ltd.,Common Stock,5970.0,2022-08-03,japan,Fuji Electric,"Fuji Electric Co., Ltd.",JPY,6504,equity,FUJI ELECTRIC CO LTD,Industrial,FUJI ELECTRIC CO LTD,6504,6504,Japan,TSEJ,JPY
9010,Japan,JPY,TSE,JP3810400006,Fuji Kyuko Co Ltd,Common Stock,4210.0,2022-08-03,japan,Fuji Kyuko Co Ltd,Fuji Kyuko Co Ltd,JPY,9010,equity,FUJI KYUKO CO LTD,Industrial,FUJI KYUKO CO LTD,9010,9010,Japan,TSEJ,JPY
5199,Japan,JPY,TSE,JP3821600008,Fuji Latex Co Ltd,Common Stock,2280.0,2022-08-03,japan,Fuji Latex,Fuji Latex Co Ltd,JPY,5199,equity,FUJI LATEX CO LTD,Industrial,FUJI LATEX CO LTD,5199,5199,Japan,TSEJ,JPY
4676,Japan,JPY,TSE,JP3819400007,Fuji Media Holdings Inc,Common Stock,1136.0,2022-08-03,japan,Fuji Media Holdings Inc,Fuji Media Holdings Inc,JPY,4676,equity,FUJI MEDIA HOLDINGS INC,Communications,FUJI MEDIA HOLDINGS INC,4676,4676,Japan,TSEJ,JPY
7299,Japan,JPY,TSE,JP3807750009,Fuji Oozx Inc,Common Stock,3045.0,2022-08-03,japan,Fuji Oozx,Fuji Oozx Inc,JPY,7299,equity,FUJI OOZX INC,"Consumer, Cyclical",FUJI OOZX INC,7299,7299,Japan,TSEJ,JPY
4554,Japan,JPY,TSE,JP3816200004,Fuji Pharma Co Ltd,Common Stock,979.0,2022-08-03,japan,Fuji Pharma Co Ltd,Fuji Pharma Co Ltd,JPY,4554,equity,FUJI PHARMA CO LTD,"Consumer, Non-cyclical",FUJI PHARMA CO LTD,4554,4554,Japan,TSEJ,JPY
7864,Japan,JPY,TSE,JP3813800004,Fuji Seal International Inc,Common Stock,1535.0,2022-08-03,japan,Fuji Seal International,Fuji Seal International Inc,JPY,7864,equity,FUJI SEAL INTERNATIONAL INC,Industrial,FUJI SEAL INTERNATIONAL INC,7864,7864,Japan,TSEJ,JPY
600802,China,CNY,SHG,CNE000000CQ8,Fujian Cement Inc,Common Stock,6.22,2022-08-03,china,Fujian Cement,Fujian Cement Inc,CNY,600802,equity,FUJIAN CEMENT INC-A,Industrial,FUJIAN CEMENT INC-A,600802,600802,China,SEHKNTL,CNH
600483,China,CNY,SHG,CNE000001HV5,Fujian Funeng Co Ltd,Common Stock,10.88,2022-08-03,china,Fujian Funeng,Fujian Funeng Co Ltd,CNY,600483,equity,FUJIAN FUNENG CO LTD-A,Utilities,FUJIAN FUNENG CO LTD-A,600483,600483,China,SEHKNTL,CNH
600388,China,CNY,SHG,CNE0000016G5,Fujian Longking Co Ltd,Common Stock,12.9,2022-08-03,china,Fujian Longking,Fujian Longking Co Ltd,CNY,600388,equity,FUJIAN LONGKING CO LTD-A,Industrial,FUJIAN LONGKING CO LTD-A,600388,600388,China,SEHKNTL,CNH
2908,Japan,JPY,TSE,JP3818700001,Fujicco Co Ltd,Common Stock,1941.0,2022-08-03,japan,Fujicco Co Ltd,Fujicco Co Ltd,JPY,2908,equity,FUJICCO CO LTD,"Consumer, Non-cyclical",FUJICCO CO LTD,2908,2908,Japan,TSEJ,JPY
4901,Japan,JPY,TSE,JP3814000000,Fujifilm Holdings Corp.,Common Stock,7539.0,2022-08-03,japan,Fujifilm Holdings Corp.,Fujifilm Holdings Corp.,JPY,4901,equity,FUJIFILM HOLDINGS CORP,Technology,FUJIFILM HOLDINGS CORP,4901,4901,Germany,TSEJ,JPY
4620,Japan,JPY,TSE,JP3811200009,Fujikura Kasei Co Ltd,Common Stock,475.0,2022-08-03,japan,Fujikura Kasei,Fujikura Kasei Co Ltd,JPY,4620,equity,FUJIKURA KASEI CO LTD,Basic Materials,FUJIKURA KASEI CO LTD,4620,4620,Japan,TSEJ,JPY
5384,Japan,JPY,TSE,JP3820900003,Fujimi Inc,Common Stock,6020.0,2022-08-03,japan,Fujimi Inc,Fujimi Inc,JPY,5384,equity,FUJIMI INC,Industrial,FUJIMI INC,5384,5384,Japan,TSEJ,JPY
7917,Japan,JPY,TSE,JP3821000001,Fujimori Kogyo Co Ltd,Common Stock,3480.0,2022-08-03,japan,Fujimori Kogyo,Fujimori Kogyo Co Ltd,JPY,7917,equity,FUJIMORI KOGYO CO LTD,Industrial,FUJIMORI KOGYO CO LTD,7917,7917,Japan,TSEJ,JPY
2752,Japan,JPY,TSE,JP3807770007,Fujio Food System Co Ltd,Common Stock,1350.0,2022-08-03,japan,Fujio Food System,Fujio Food System Co Ltd,JPY,2752,equity,FUJIO FOOD SYSTEM CO LTD,,,,,,,
4237,Japan,JPY,TSE,JP3820720005,Fujipream Corp,Common Stock,324.0,2022-08-03,japan,Fujipream,Fujipream Corp,JPY,4237,equity,FUJIPREAM CORP,Industrial,FUJIPREAM CORP,4237,4237,Japan,TSEJ,JPY
1770,Japan,JPY,TSE,JP3816750008,Fujita Engineering Co Ltd,Common Stock,893.0,2022-08-03,japan,Fujita Engineering,Fujita Engineering Co Ltd,JPY,1770,equity,FUJITA ENGINEERING CO LTD,Industrial,FUJITA ENGINEERING CO LTD,1770,1770,Japan,TSEJ,JPY
9722,Japan,JPY,TSE,JP3816800001,Fujita Kanko Inc,Common Stock,2746.0,2022-08-03,japan,Fujita Kanko Inc,Fujita Kanko Inc,JPY,9722,equity,FUJITA KANKO INC,"Consumer, Cyclical",FUJITA KANKO INC,9722,9722,Japan,TSEJ,JPY
6406,Japan,JPY,TSE,JP3818800009,Fujitec Co Ltd,Common Stock,2831.0,2022-08-03,japan,Fujitec Co Ltd,Fujitec Co Ltd,JPY,6406,equity,FUJITEC CO LTD,Industrial,FUJITEC CO LTD,6406,6406,Japan,TSEJ,JPY
6702,Japan,JPY,TSE,JP3818000006,Fujitsu Ltd.,Common Stock,17470.0,2022-08-03,japan,Fujitsu,Fujitsu Ltd.,JPY,6702,equity,FUJITSU LTD,Technology,FUJITSU LTD,6702,6702,Japan,TSEJ,JPY
2211,Japan,JPY,TSE,JP3821200007,Fujiya Co Ltd,Common Stock,2369.0,2022-08-03,japan,Fujiya Co Ltd,Fujiya Co Ltd,JPY,2211,equity,FUJIYA CO LTD,"Consumer, Non-cyclical",FUJIYA CO LTD,2211,2211,Japan,TSEJ,JPY
1899,Japan,JPY,TSE,JP3805600008,Fukuda Corp,Common Stock,4850.0,2022-08-03,japan,Fukuda Corp,Fukuda Corp,JPY,1899,equity,FUKUDA CORP,Industrial,FUKUDA CORP,1899,1899,Japan,TSEJ,JPY
6960,Japan,JPY,TSE,JP3806000000,Fukuda Denshi Co Ltd,Common Stock,7400.0,2022-08-03,japan,Fukuda Denshi,Fukuda Denshi Co Ltd,JPY,6960,equity,FUKUDA DENSHI CO LTD,"Consumer, Non-cyclical",FUKUDA DENSHI CO LTD,6960,6960,Japan,TSEJ,JPY
9790,Japan,JPY,TSE,JP3803800006,Fukui Computer Holdings Inc,Common Stock,3470.0,2022-08-03,japan,Fukui Computer Holdings,Fukui Computer Holdings Inc,JPY,9790,equity,FUKUI COMPUTER HOLDINGS INC,Technology,FUKUI COMPUTER HOLDINGS INC,9790,9790,Japan,TSEJ,JPY
8354,Japan,JPY,TSE,JP3805010000,Fukuoka Financial Group Inc.,Common Stock,2313.0,2022-08-03,japan,"Fukuoka Financial Group, Inc.","Fukuoka Financial Group, Inc.",JPY,8354,equity,FUKUOKA FINANCIAL GROUP INC,Financial,FUKUOKA FINANCIAL GROUP INC,8354,8354,Japan,TSEJ,JPY
9075,Japan,JPY,TSE,JP3806800003,Fukuyama Transporting Co Ltd,Common Stock,3055.0,2022-08-03,japan,Fukuyama Transporting,Fukuyama Transporting Co Ltd,JPY,9075,equity,FUKUYAMA TRANSPORTING CO LTD,Industrial,FUKUYAMA TRANSPORTING CO LTD,9075,9075,Japan,TSEJ,JPY
FCRM,UK,GBX,LSE,KYG368851047,Fulcrum Utility Services Ltd,Common Stock,5.65,2022-08-03,united kingdom,Fulcrum,Fulcrum Utility Services Ltd,GBP,FCRM,equity,FULCRUM UTILITY SERVICES LTD,Utilities,FULCRUM UTILITY SERVICES LTD,ASQ1,FCRM,United Kingdom,LSE,GBP
2159,Japan,JPY,TSE,JP3828200000,Full Speed Inc,Common Stock,549.0,2022-08-03,japan,Full Speed,Full Speed Inc,JPY,2159,equity,FULL SPEED INC,Communications,FULL SPEED INC,2159,2159,Japan,TSEJ,JPY
4848,Japan,JPY,TSE,JP3827800008,Fullcast Holdings Co Ltd,Common Stock,2331.0,2022-08-03,japan,Fullcast Holdings,Fullcast Holdings Co Ltd,JPY,4848,equity,FULLCAST HOLDINGS CO LTD,"Consumer, Non-cyclical",FULLCAST HOLDINGS CO LTD,4848,4848,Japan,TSEJ,JPY
607,Hong Kong,HKD,HK,KYG3690U1058,Fullshare Holdings Ltd,Common Stock,0.121,2022-08-03,hong kong,Fullshare Holdings Ltd,Fullshare Holdings Ltd,HKD,0607,equity,FULLSHARE HOLDINGS LTD,,FULLSHARE HOLDINGS LTD,,0607,Hong Kong,SEHK,HKD
4998,Japan,JPY,TSE,JP3826000006,Fumakilla Ltd,Common Stock,1151.0,2022-08-03,japan,Fumakilla,Fumakilla Ltd,JPY,4998,equity,FUMAKILLA LTD,Basic Materials,FUMAKILLA LTD,4998,4998,Japan,TSEJ,JPY
3266,Japan,JPY,TSE,JP3802920003,Fund Creation Group Co Ltd,Common Stock,81.0,2022-08-03,japan,Fund Creation Group,Fund Creation Group Co Ltd,JPY,3266,equity,FUND CREATION GROUP CO LTD,Financial,FUND CREATION GROUP CO LTD,3266,3266,Japan,TSEJ,JPY
3137,Japan,JPY,TSE,JP3802970008,Fundely Co Ltd,Common Stock,283.0,2022-08-03,japan,Fundely,Fundely Co Ltd,JPY,3137,equity,FUNDELY CO LTD,"Consumer, Cyclical",FUNDELY CO LTD,3137,3137,Japan,TSEJ,JPY
8480,Hong Kong,HKD,HK,KYG370041017,Furniweb Holdings Ltd,Common Stock,0.23,2022-08-03,hong kong,Furniweb,Furniweb Holdings Ltd,HKD,8480,equity,FURNIWEB HOLDINGS LTD,"Consumer, Cyclical",FURNIWEB HOLDINGS LTD,8480,8480,Hong Kong,SEHK,HKD
3944,Japan,JPY,TSE,JP3828800007,Furubayashi Shiko Co Ltd,Common Stock,1889.0,2022-08-03,japan,Furubayashi Shiko,Furubayashi Shiko Co Ltd,JPY,3944,equity,FURUBAYASHI SHIKO CO LTD,Industrial,FURUBAYASHI SHIKO CO LTD,3944,3944,Japan,TSEJ,JPY
6937,Japan,JPY,TSE,JP3827600002,Furukawa Battery Co Ltd,Common Stock,1195.0,2022-08-03,japan,Furukawa Battery,Furukawa Battery Co Ltd,JPY,6937,equity,FURUKAWA BATTERY CO LTD,"Consumer, Cyclical",FURUKAWA BATTERY CO LTD,6937,6937,Japan,TSEJ,JPY
5715,Japan,JPY,TSE,JP3826800009,Furukawa Co. Ltd.,Common Stock,1232.0,2022-08-03,japan,Furukawa,"Furukawa Co., Ltd.",JPY,5715,equity,FURUKAWA CO LTD,Basic Materials,FURUKAWA CO LTD,5715,5715,Japan,TSEJ,JPY
5801,Japan,JPY,TSE,JP3827200001,Furukawa Electric Co. Ltd.,Common Stock,2315.0,2022-08-03,japan,Furukawa Electric,"Furukawa Electric Co., Ltd.",JPY,5801,equity,FURUKAWA ELECTRIC CO LTD,Industrial,FURUKAWA ELECTRIC CO LTD,5801,5801,Japan,TSEJ,JPY
6814,Japan,JPY,TSE,JP3828400006,Furuno Electric Co Ltd,Common Stock,1108.0,2022-08-03,japan,Furuno Electric,Furuno Electric Co Ltd,JPY,6814,equity,FURUNO ELECTRIC CO LTD,Industrial,FURUNO ELECTRIC CO LTD,6814,6814,Japan,TSEJ,JPY
7826,Japan,JPY,TSE,JP3828850002,Furuya Metal Co Ltd,Common Stock,8440.0,2022-08-03,japan,Furuya Metal,Furuya Metal Co Ltd,JPY,7826,equity,FURUYA METAL CO LTD,Industrial,FURUYA METAL CO LTD,7826,7826,Japan,TSEJ,JPY
6238,Japan,JPY,TSE,JP3826770004,FuRyu Corp,Common Stock,1141.0,2022-08-03,japan,FuRyu Corp,FuRyu Corp,JPY,6238,equity,FURYU CORP,Industrial,FURYU CORP,6238,6238,Japan,TSEJ,JPY
4368,Japan,JPY,TSE,JP3822600007,Fuso Chemical Co Ltd,Common Stock,3565.0,2022-08-03,japan,Fuso Chemical,Fuso Chemical Co Ltd,JPY,4368,equity,FUSO CHEMICAL CO LTD,Basic Materials,FUSO CHEMICAL CO LTD,4368,4368,Japan,TSEJ,JPY
6986,Japan,JPY,TSE,JP3824400000,Futaba Corp,Common Stock,674.0,2022-08-03,japan,Futaba Corp,Futaba Corp,JPY,6986,equity,FUTABA CORP,Industrial,FUTABA CORP,6986,6986,Japan,TSEJ,JPY
7241,Japan,JPY,TSE,JP3824000008,Futaba Industrial Co Ltd,Common Stock,357.0,2022-08-03,japan,Futaba Industrial,Futaba Industrial Co Ltd,JPY,7241,equity,FUTABA INDUSTRIAL CO LTD,"Consumer, Cyclical",FUTABA INDUSTRIAL CO LTD,7241,7241,Japan,TSEJ,JPY
FF,USA,USD,US,US36116M1062,FutureFuel Corp,Common Stock,7.16,2022-08-02,united states,FutureFuel,FutureFuel Corp,USD,FF,equity,FUTUREFUEL CORP,Energy,FUTUREFUEL CORP,FF,FF,,,
FFHL,USA,USD,US,KYG3704F1101,Fuwei Films Holdings Co Ltd,Common Stock,8.8099,2022-08-02,united states,Fuwei Films Holdings,Fuwei Films Holdings Co Ltd,USD,FFHL,equity,FUWEI FILMS HOLDINGS CO LTD,Industrial,FUWEI FILMS HOLDINGS CO LTD,SCM,FFHL,,,
3606,Hong Kong,HKD,HK,CNE100001TR7,Fuyao Glass Industry Group,Common Stock,37.8,2022-08-03,hong kong,Fuyao Glass Industry Group,Fuyao Glass Industry Group,HKD,3606,equity,FUYAO GLASS INDUSTRY GROUP-H,"Consumer, Cyclical",FUYAO GLASS INDUSTRY GROUP-H,3606,3606,Hong Kong,SEHK,HKD
FVCB,USA,USD,US,US36120Q1013,FVCBankcorp Inc,Common Stock,19.1,2022-08-02,united states,FVCBankcorp,FVCBankcorp Inc,USD,FVCB,equity,FVCBANKCORP INC,Financial,FVCBANKCORP INC,SCM,FVCB,,,
