Code,Country,Currency,Exchange,ISIN,Name,Type,previousClose,previousCloseDate
9697,Japan,JPY,TSE,JP3218900003,Capcom Co Ltd,Common Stock,3695.0,2022-07-21
CAP,France,EUR,PA,FR0000125338,Capgemini SE,Common Stock,171.0,2022-07-21
1075,Hong Kong,HKD,HK,CNE1000000X2,Capinfo Co Ltd,Common Stock,0.315,2022-07-21
3965,Japan,JPY,TSE,JP3244420000,Capital Asset Planning Inc,Common Stock,616.0,2022-07-21
CCBG,USA,USD,US,US1396741050,Capital City Bank Group,Common Stock,31.76,2022-07-21
CGT,UK,GBX,LSE,GB0001738615,Capital Gearing Trust,Common Stock,5040.0,2022-07-21
COF,USA,USD,US,US14040H1059,Capital One Financial Corporation,Common Stock,114.27,2022-07-21
CPTP,Israel,ILA,TA,IL0010971468,Capital Point,Common Stock,81.2,2022-07-21
CSWC,USA,USD,US,US1405011073,Capital Southwest Corporation,Common Stock,19.54,2022-07-21
CAPTRUST,India,INR,NSE,INE707C01018,Capital Trust Limited,Common Stock,106.75,2022-07-21
C38U,Singapore,SGD,SG,SG1M51904654,CapitaLand Integrated Commercial Trust,Common Stock,2.09,2022-07-21
AU8U,Singapore,SGD,SG,SG1U25933169,CapitaLand China Trust,Common Stock,1.15,2022-07-21
CSE,Australia,AUD,AU,AU000000CSE3,Copper Strike Ltd,Common Stock,0.12,2022-07-21
CPI,South Africa,ZAC,JSE,ZAE000035861,Capitec Bank Holdings Ltd,Common Stock,207099.0,2022-07-21
CPI,Canada,CAD,TO,CA20676X3067,Condor Petroleum Inc,Common Stock,0.38,2022-07-20
CFFN,USA,USD,US,US14057J1016,Capitol Federal Financial Inc,Common Stock,9.36,2022-07-21
CAJ,USA,USD,US,US1380063099,Canon Inc ADR,Common Stock,23.38,2022-07-21
CAPLIPOINT,India,INR,NSE,INE475E01026,Caplin Point Laboratories Limited,Common Stock,789.2,2022-07-21
CGCL,India,INR,NSE,INE180C01026,Capri Global Capital Limited,Common Stock,719.85,2022-07-21
CMM,Australia,AUD,AU,AU000000CMM9,Capricorn Metals Ltd,Common Stock,3.2800000000000002,2022-07-21
CATG,France,EUR,PA,FR0010193052,SA Catana Group,Common Stock,7.32,2022-07-21
CRSO,Israel,ILA,TA,IL0011238503,Carasso,Common Stock,1739.0,2022-07-21
CVV,USA,USD,US,US1266011030,CVD Equipment Corporation,Common Stock,4.615,2022-07-21
CVV,USA,USD,US,US1266011030,CVD Equipment Corporation,Common Stock,4.615,2022-07-21
CWX,Australia,AUD,AU,AU000000CWX5,Carawine Resources Limited,Common Stock,0.096,2022-07-21
CG1,Australia,AUD,AU,AU000000CG18,Carbonxt Group Ltd,Common Stock,0.17,2022-07-21
CARBORUNIV,India,INR,NSE,INE120A01034,Carborundum Universal Limited,Common Stock,787.7,2022-07-21
7602,Japan,JPY,TSE,JP3388550000,Carchs Holdings Co Ltd,Common Stock,223.0,2022-07-21
CARD,UK,GBX,LSE,GB00BLY2F708,Card Factory PLC,Common Stock,51.5,2022-07-21
CDFF,UK,GBX,LSE,GB0001754257,Cardiff Property PLC,Common Stock,2400.0,2022-07-21
CAH,USA,USD,US,US14149Y1082,Cardinal Health Inc,Common Stock,56.13,2022-07-21
CSII,USA,USD,US,US1416191062,Cardiovascular Systems Inc,Common Stock,16.57,2022-07-21
CDD,Australia,AUD,AU,AU000000CDD7,Cardno Ltd,Common Stock,0.29,2022-07-21
CCP,Australia,AUD,AU,AU000000CCP3,Credit Corp Group Ltd,Common Stock,23.42,2022-07-21
CPINV,Belgium,EUR,BR,BE0974273055,Care Property Invest NV,Common Stock,23.5,2022-07-21
CARERATING,India,INR,NSE,INE752H01013,CARE Ratings Limited,Common Stock,451.9,2022-07-21
2425,Japan,JPY,TSE,JP3277450007,Care Service Co Ltd,Common Stock,684.0,2022-07-21
2410,Japan,JPY,TSE,JP3244450007,Career Design Center Co Ltd,Common Stock,1185.0,2022-07-21
CAREERP,India,INR,NSE,INE521J01018,Career Point Limited,Common Stock,108.55,2022-07-21
CRL,Italy,EUR,MI,IT0005331019,Carel Industries S.p.A,Common Stock,20.95,2022-07-21
CRL,Australia,AUD,AU,AU000000CRL0,Comet Resources Ltd,Common Stock,0.02,2022-07-21
CRL,UK,GBX,LSE,GB0002341666,Creightons Plc,Common Stock,38.0,2022-07-21
2150,Japan,JPY,TSE,JP3277550004,CareNet Inc,Common Stock,1040.0,2022-07-21
CTH,UK,GBX,LSE,GB00B0KWHQ09,Caretech Holdings PLC,Common Stock,743.0,2022-07-21
CJT,Canada,CAD,TO,CA14179V5036,Cargojet Inc,Common Stock,136.28,2022-07-21
CDP,Australia,AUD,AU,AU000000CDP1,Carindale Property Trust,Common Stock,4.59,2022-07-21
CGD,Canada,CAD,V,CA1422401002,Carlin Gold Corporation,Common Stock,0.04,2022-07-20
4275,Japan,JPY,TSE,JP3205320009,Carlit Holdings Co Ltd,Common Stock,670.0,2022-07-21
CIN,Australia,AUD,AU,AU000000CIN5,Carlton Investments Ltd,Common Stock,29.75,2022-07-21
CIN,UK,GBX,LSE,GB00BD9GS058,City of London Group plc,Common Stock,50.0,2022-07-21
CMH,UK,GBX,LSE,GB0001870228,Chamberlin Plc,Common Stock,4.7,2022-07-21
ALCAR,France,EUR,PA,FR0010907956,Carmat,Common Stock,12.06,2022-07-21
KMX,USA,USD,US,US1431301027,CarMax Inc,Common Stock,96.01,2022-07-21
CRMT,USA,USD,US,US03062T1051,Americas Car-Mart Inc,Common Stock,102.74,2022-07-21
4572,Japan,JPY,TSE,JP3220550002,Carna Biosciences Inc,Common Stock,953.0,2022-07-21
CNB,Australia,AUD,AU,AU0000046203,Carnaby Resources Ltd,Common Stock,1.12,2022-07-21
CVN,Australia,AUD,AU,AU000000CVN8,Carnarvon Petroleum Ltd,Common Stock,0.21,2022-07-21
CCE,Australia,AUD,AU,AU000000CCE7,Carnegie Clean Energy Ltd,Common Stock,0.002,2022-07-21
3688,Japan,JPY,TSE,JP3855650002,Carta Holdings Inc,Common Stock,1957.0,2022-07-21
ECR,Canada,CAD,V,CA1467721082,Cartier Resources Inc,Common Stock,0.115,2022-07-21
ECR,Spain,EUR,MC,ES0125140A14,Ercros,Common Stock,3.5700000000000003,2022-07-21
CARV,USA,USD,US,US1468756044,Carver Bancorp Inc,Common Stock,5.86,2022-07-21
C04,Singapore,SGD,SG,SG1B93012089,Casa Holdings Limited,Common Stock,0.092,2022-07-20
CWST,USA,USD,US,US1474481041,Casella Waste Systems Inc,Common Stock,75.59,2022-07-21
CASY,USA,USD,US,US1475281036,Caseys General Stores Inc,Common Stock,198.44,2022-07-21
CSH,UK,GBX,LSE,GB00BD8HBD32,Civitas Social Housing PLC,Common Stock,81.9,2022-07-21
CCV,Australia,AUD,AU,AU000000CCV1,Cash Converters International,Common Stock,0.245,2022-07-21
CSB,South Africa,ZAC,JSE,ZAE000028320,Cashbil,Common Stock,27699.0,2022-07-21
CO,France,EUR,PA,FR0000125585,Casino Guichard Perrachon SA,Common Stock,12.42,2022-07-21
6952,Japan,JPY,TSE,JP3209000003,Casio Computer Co. Ltd.,Common Stock,1286.0,2022-07-21
CASS,USA,USD,US,US14808P1093,Cass Information Systems Inc,Common Stock,36.11,2022-07-21
2777,Japan,JPY,TSE,JP3212300002,Cassina Ixc. Ltd,Common Stock,815.0,2022-07-21
TEX,USA,USD,US,US8807791038,Terex Corporation,Common Stock,31.32,2022-07-21
TEX,USA,USD,US,US8807791038,Terex Corporation,Common Stock,31.32,2022-07-21
CCZ,UK,GBX,LSE,AU000000CCZ2,Castillo Copper Ltd,Common Stock,0.675,2022-07-21
CDT,Australia,AUD,AU,AU000000CDT3,Castle Minerals Ltd,Common Stock,0.027,2022-07-21
CAST,Israel,ILA,TA,IL0002800162,Castro,Common Stock,9065.0,2022-07-21
CASTROLIND,India,INR,NSE,INE172A01027,Castrol India Limited,Common Stock,111.05,2022-07-21
CYL,Australia,AUD,AU,AU000000CYL6,Catalyst Metals Ltd,Common Stock,1.255,2022-07-21
CPRX,USA,USD,US,US14888U1016,Catalyst Pharmaceuticals Inc,Common Stock,9.87,2022-07-21
CTRG,France,EUR,PA,FR0000064446,Catering Intl Sces,Common Stock,8.9,2022-07-21
CAT,USA,USD,US,US1491231015,Caterpillar Inc,Common Stock,180.99,2022-07-21
CATY,USA,USD,US,US1491501045,Cathay General Bancorp,Common Stock,41.27,2022-07-21
CXU,Australia,AUD,AU,AU000000CXU9,Cauldron Energy Ltd,Common Stock,0.008,2022-07-21
CVCO,USA,USD,US,US1495681074,Cavco Industries Inc,Common Stock,240.09,2022-07-21
3760,Japan,JPY,TSE,JP3281200000,Cave Interactive Co Ltd,Common Stock,1413.0,2022-07-21
WTC,Australia,AUD,AU,AU000000WTC3,WiseTech Global Limited,Common Stock,49.18,2022-07-21
CAZ,Australia,AUD,AU,AU000000CAZ6,Cazaly Resources Ltd,Common Stock,0.039,2022-07-21
9852,Japan,JPY,TSE,JP3518400001,CB Group Management Co Ltd,Common Stock,2920.0,2022-07-21
CBAT,USA,USD,US,US14986C1027,CBAK Energy Technology Inc,Common Stock,1.26,2022-07-21
8428,Hong Kong,HKD,HK,KYG1991R1103,CBK Holdings Ltd,Common Stock,0.73,2022-07-20
IGR,UK,GBX,LSE,GB0004526900,IG Design Group plc,Common Stock,94.0,2022-07-21
CBRE,USA,USD,US,US12504L1098,CBRE Group Inc Class A,Common Stock,81.26,2022-07-21
138,Hong Kong,HKD,HK,BMG1987Y1030,CCT Fortis Holdings Ltd,Common Stock,0.182,2022-07-21
CCUR,USA,USD,US,US12509F2065,CCUR Holdings Inc,Common Stock,6500.0,2022-07-21
CDR,Poland,PLN,WAR,PLOPTTC00011,CD PROJEKT SA,Common Stock,92.55,2022-07-21
J85,Singapore,SGD,SG,SG1T66931158,CDL Hospitality Trusts,Common Stock,1.3,2022-07-21
2169,Japan,JPY,TSE,JP3347040002,CDS Co Ltd,Common Stock,1950.0,2022-07-21
CDTI,USA,USD,US,US12514V2043,CDTi Advanced Materials Inc,Common Stock,0.4,2022-07-21
4320,Japan,JPY,TSE,JP3346350006,CE Holdings Co Ltd,Common Stock,459.0,2022-07-21
CEATLTD,India,INR,NSE,INE482A01020,CEAT Limited,Common Stock,1250.8,2022-07-21
591,China,CNY,SHE,CNE0000000K1,CECEP Solar Energy Co Ltd,Common Stock,8.66,2022-07-21
CECE,USA,USD,US,US1251411013,CECO Environmental Corp,Common Stock,7.26,2022-07-21
2435,Japan,JPY,TSE,JP3351630003,Cedar Co Ltd,Common Stock,170.0,2022-07-21
