,EOD-Code,EOD-Exchange,EOD-Name,EOD-Type,EOD-Country,EOD-Currency,EOD-ISIN,EOD-previousClose,EOD-previousCloseDate
0,NAR,LSE,Northamber PLC,Common Stock,UK,GBX,GB00B2Q99X01,51.5,2022-07-20
0,NAR,V,North Arrow Minerals Inc,Common Stock,Canada,CAD,CA6572802024,0.08,2022-07-20
0,NCF,TO,Northcliff Resources Ltd,Common Stock,Canada,CAD,CA66401Q1081,0.045,2022-07-19
1,NCFFF,US,Northcliff Resources Ltd,Common Stock,USA,USD,CA66401Q1081,0.033,2022-07-20
0,NODL,OL,Northern Drilling Ltd,Common Stock,Norway,NOK,BMG6624L1090,28.4,2022-07-20
0,NAK,US,Northern Dynasty Minerals Ltd,Common Stock,USA,USD,CA66510M2040,0.2858,2022-07-20
1,NDM,TO,Northern Dynasty Minerals Ltd,Common Stock,Canada,CAD,CA66510M2040,0.365,2022-07-20
0,NTEA,LSE,Northern Electric plc 8.061P(NET)CUM IRRD PRF 1P,Common Stock,UK,GBX,GB0006546898,129.5,2022-07-20
0,NM,US,Navios Maritime Holdings Inc,Common Stock,USA,USD,MHY621971198,2.3,2022-07-20
1,3NTA,F,Navios Maritime Holdings Inc,Common Stock,Germany,EUR,MHY621971198,2.249,2022-07-20
0,NGC,V,Northern Graphite Corporation,Common Stock,Canada,CAD,CA66516A1057,0.49,2022-07-20
1,NGPHF,US,Northern Graphite Corporation,Common Stock,USA,USD,CA66516A1057,0.385,2022-07-20
0,NLR,US,VanEck Uranium+Nuclear Energy ETF,ETF,USA,USD,US92189F6016,53.01,2022-07-20
0,NL,US,NL Industries Inc,Common Stock,USA,USD,US6291564077,9.15,2022-07-20
0,NL,V,Northern Lion Gold Corp,Common Stock,Canada,CAD,CA6653783036,0.3,2022-07-19
0,NMI,US,Nuveen Municipal Income Fund Inc,FUND,USA,USD,US67062J1025,9.35,2022-07-20
0,NMI,V,Namibia Critical Metals Inc,Common Stock,Canada,CAD,CA62988F1027,0.165,2022-07-20
0,5401,TSE,Nippon Steel Corp,Common Stock,Japan,JPY,JP3381000003,2036.0,2022-07-20
0,NRN,V,Northern Shield Resources Inc.,Common Stock,Canada,CAD,CA6657201084,0.015,2022-07-20
0,XEL,US,Xcel Energy Inc,Common Stock,USA,USD,US98389B1008,67.6,2022-07-20
0,NSBK,US,Northern Star Financial Inc,Common Stock,USA,USD,US6657281019,0.005,2022-07-20
0,NST,AU,Northern Star Resources Ltd,Common Stock,Australia,AUD,AU000000NST8,6.9,2022-07-20
1,NESRF,US,Northern Star Resources Ltd,Common Stock,USA,USD,AU000000NST8,4.8,2022-07-20
0,NST,STU,Norddeutsche Steingut AG,Common Stock,Germany,EUR,DE0006770001,4.0,2022-07-20
0,SUP,US,Superior Industries International,Common Stock,USA,USD,US8681681057,4.25,2022-07-20
0,SUP,V,Northern Superior Resources Inc,Common Stock,Canada,CAD,CA6658043089,0.51,2022-07-20
0,SUP,LSE,Supreme PLC,Common Stock,UK,GBX,GB00BDT89C08,94.0,2022-07-20
0,SUN,US,Sunoco LP,Common Stock,USA,USD,US86765K1097,39.06,2022-07-20
0,NTIC,US,Northern Technologies,Common Stock,USA,USD,US6658091094,10.77,2022-07-20
0,NTI,AU,Neurotech International Ltd,Common Stock,Australia,AUD,AU000000NTI9,0.071,2022-07-20
0,NTRS,US,Northern Trust Corporation,Common Stock,USA,USD,US6658591044,97.18,2022-07-20
0,NFBK,US,Northfield Bancorp Inc,Common Stock,USA,USD,US66611T1088,13.76,2022-07-20
0,NPI,TO,Northland Power Inc.,Common Stock,Canada,CAD,CA6665111002,40.44,2022-07-20
1,NPIFF,US,Northland Power Inc.,Common Stock,USA,USD,CA6665111002,31.4,2022-07-20
0,NPI,MI,Notorious,Common Stock,Italy,EUR,IT0005025355,1.51,2022-07-19
0,NRIM,US,Northrim BanCorp Inc,Common Stock,USA,USD,US6667621097,41.26,2022-07-20
0,NOC,US,Northrop Grumman Corporation,Common Stock,USA,USD,US6668071029,456.07,2022-07-20
0,NOC,V,Norseman Capital Ltd,Common Stock,Canada,CAD,CA65654L1058,0.125,2022-07-20
0,NEIK,US,Northstar Electronics Inc,Common Stock,USA,USD,US66704D1019,0.005,2022-07-20
0,NUBC,US,Northumberland Bancorp,Common Stock,USA,USD,US6670561058,36.82,2022-07-20
0,NWYF,US,Northway Financial Inc,Common Stock,USA,USD,US6672702015,30.0,2022-07-20
0,NAS,LSE,North Atlantic Smaller Companies Investment Trust PLC,Common Stock,UK,GBX,GB0006439003,3600.0,2022-07-19
0,NAS,OL,Norwegian Air Shuttle ASA,Common Stock,Norway,NOK,NO0010196140,9.13,2022-07-20
1,0FGH,LSE,Norwegian Air Shuttle ASA,Common Stock,UK,NOK,NO0010196140,9.118,2022-07-20
2,NWC,F,Norwegian Air Shuttle ASA,Common Stock,Germany,EUR,NO0010196140,0.9032,2022-07-20
3,NWARF,US,Norwegian Air Shuttle ASA,Common Stock,USA,USD,NO0010196140,0.9475,2022-07-20
0,1NC,F,Norwegian Cruise Line Holdings Ltd,Common Stock,Germany,EUR,BMG667211046,13.136,2022-07-20
1,NCLH,US,Norwegian Cruise Line Holdings Ltd,Common Stock,USA,USD,BMG667211046,13.46,2022-07-20
0,NWE,AU,Norwest Energy NL,Common Stock,Australia,AUD,AU000000NWE2,0.041,2022-07-20
